x,y,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
48.2,0,-4.41,5.72,8.27
48.3,0,-6.49,5.38,7.92
48.4,0,-0.57,6.81,8.46
48.5,0,-6.56,5.79,8.05
48.6,0,-14.32,4.69,7.24
48.7,0,-13.33,6.16,8.65
48.8,0,13.9,11.63,10.6
48.9,0,41.6,17.08,12.3
49,0,42.89,17.16,12.08
49.1,0,35.38,15.6,11.72
49.2,0,42.43,16.37,11.89
49.3,0,23.25,11.66,10.34
49.4,0,-1.76,6.94,8.59
49.5,0,-5.82,6.37,8.59
49.6,0,4.21,8.58,9.29
49.7,0,16.67,11.27,10.45
49.8,0,18.52,11.6,10.47
49.9,0,23.72,12.76,10.44
50,0,18.93,12.24,10.39
50.1,0,8.07,10.59,10
50.2,0,24.32,14.02,11.65
50.3,0,53.76,19.31,13.26
50.4,0,33.98,15.34,11.61
50.5,0,31.64,15.09,11.68
50.6,0,42.58,16.81,12.34
50.7,0,22.45,12.71,10.76
50.8,0,4.99,9.18,9.68
50.9,0,22.17,12.98,11.11
51,0,41.84,16.54,12.26
51.1,0,23.51,12.33,11.04
51.2,0,20.44,11.88,10.79
51.3,0,9.11,9.91,9.71
51.4,0,0.09,7.88,9.21
51.5,0,-4.05,7.77,9.49
51.6,0,14.28,11.76,11.13
51.7,0,19.97,12.61,10.65
51.8,0,19.76,12.49,11.01
51.9,0,33.52,16.01,12.22
52,0,46.5,18.52,12.98
52.1,0,47.2,18.52,13.07
52.2,0,52.05,19.25,13.57
52.3,0,51.02,19.04,13.27
52.4,0,30.5,14.31,11.47
52.5,0,21.26,12.61,11.19
52.6,0,9.12,10.45,9.96
52.7,0,5.24,9.56,9.76
52.8,0,14.46,10.25,8.56
52.9,0,31.69,14.76,11.9
53,0,24.77,13.01,10.79
53.1,0,22.49,12.55,10.85
53.2,0,14.08,9.31,8.06
53.3,0,4.25,9.49,10.61
53.4,0,-9.11,6.26,9.27
53.5,0,-1.67,7.53,9.7
53.6,0,15.23,11.11,10.72
53.7,0,26.11,13.27,11.87
53.8,0,15.24,11.59,10.98
53.9,0,17.36,11.93,10.7
54,0,20.54,12.68,11
54.1,0,32.54,14.92,11.7
54.2,0,45.79,17.52,12.94
54.3,0,35.96,14.67,11.54
54.4,0,26.03,13.04,11.07
54.5,0,11.52,10.18,9.6
54.6,0,2.75,8.21,9
54.7,0,10.67,10.4,9.86
54.8,0,42.04,16.51,12.44
54.9,0,40.78,15.18,11.4
55,0,19.07,10.56,9.9
55.1,0,7.52,8.08,8.82
55.2,0,-4.88,5.24,7.32
55.3,0,-3.07,5.38,7.12
55.4,0,-3.81,5.52,7.61
55.5,0,18.02,10.05,9.13
55.6,0,23.78,10.98,9.16
55.7,0,11.74,8.9,8.66
55.8,0,14.36,10.38,9.11
55.9,0,43.31,16,11.15
56,0,50.48,17.2,10.93
56.1,0,45.44,16.02,11.21
56.2,0,34.03,14.04,10.23
56.3,0,33.28,13.76,10.18
56.4,0,28.24,12.83,9.68
56.5,0,30.83,13.46,10.17
56.6,0,32.18,13.41,10.41
56.7,0,34.61,13.85,10.61
56.8,0,27.77,12.7,10.01
56.9,0,25.26,12.19,9.77
57,0,31.65,13.36,10.07
57.1,0,36.95,14.4,10.86
57.2,0,28.5,11.96,9.26
57.3,0,38.54,13.28,9.52
57.4,0,18.41,8.95,8.78
57.5,0,-22.73,1.47,6.66
57.6,0,-24.2,1.19,6.43
57.7,0,-9.17,4.42,7.59
57.8,0,6.76,8.08,8.91
57.9,0,10.62,8.65,9.04
58,0,0.13,6.82,8.35
58.1,0,-9.2,5.68,8.32
58.2,0,-2.2,8.02,9.59
58.3,0,16.78,11.26,10.48
58.4,0,20.72,12.03,10.68
58.5,0,18.18,11.94,11.51
58.6,0,24.71,12.89,11.48
58.7,0,22.43,12.43,11.17
58.8,0,9.27,10.13,10.66
58.9,0,10.43,10.78,11.12
59,0,18.01,12.24,11.1
59.1,0,21.86,13.86,12.63
59.2,0,23.35,13.97,13.25
59.3,0,28.31,14.3,13.03
59.4,0,29.97,14.31,12.96
59.5,0,5.5,10.78,13.04
59.6,0,0.38,10.43,14.36
