x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1
29.6,0,10.86,10.42,11.86
29.7,0,8.74,10.7,12.86
29.8,0,5.08,9.8,12.51
29.9,0,5.5,9.62,12.75
30,0,6.38,9.52,12.04
30.1,0,10.87,10.79,12.39
30.2,0,9.41,11,13.12
30.3,0,5,10.03,12.99
30.4,0,6.74,10.65,13.62
30.5,0,6.81,10.36,13.2
30.6,0,11.08,11.41,13.49
30.7,0,11.24,11.54,13.75
30.8,0,8.91,11.09,13.51
30.9,0,10.19,11.41,13.76
31,0,9.94,11.66,14.32
31.1,0,9.29,11.3,13.78
31.2,0,10.02,11.15,13.38
31.3,0,8.55,11.47,14.31
31.4,0,7.38,11.11,13.81
31.5,0,7.29,11.04,13.81
31.6,0,7.7,11.34,13.79
31.7,0,10.42,11.58,13.85
31.8,0,10.19,11.8,14.1
31.9,0,8.93,11.44,13.91
32,0,7.31,11.18,14.25
32.1,0,9.43,11.87,14.51
32.2,0,10.37,11.68,13.99
32.3,0,8.57,11.41,13.99
32.4,0,4.77,9.7,11.02
32.5,0,7.3,11.18,13.65
32.6,0,6.98,10.9,13.8
32.7,0,8.66,11.19,14.09
32.8,0,7.6,10.73,13.72
32.9,0,5.29,10.45,13.41
33,0,6.27,10.63,13.12
33.1,0,7.07,10.72,13.25
33.2,0,9.78,11.5,14.16
33.3,0,7.08,10.51,13.06
33.4,0,6.23,11.01,13.85
33.5,0,7.41,11.04,13.75
33.6,0,8.44,11.21,13.79
33.7,0,11.65,11.97,14.17
33.8,0,5.83,10.74,13.84
33.9,0,1.68,9.66,13
34,0,5.12,10.3,13.31
34.1,0,5.97,10.64,13.65
34.2,0,10.64,11.93,14.29
34.3,0,5.46,10.6,14.28
34.4,0,-6.2,7.95,13.04
34.5,0,-1.93,9.24,13.65
34.6,0,2.79,10.15,13.8
34.7,0,9.94,11.48,14
34.8,0,13.55,12.71,14.97
34.9,0,-4.31,8.08,12.94
35,0,-13.06,6.24,11.94
35.1,0,-5.83,7.5,12.16
35.2,0,0.56,8.92,13.21
35.3,0,6.07,10.15,13.69
35.4,0,5.55,10.2,13.72
35.5,0,-3.99,8.48,12.97
35.6,0,-4.33,7.8,12.16
35.7,0,2.34,9.38,12.65
35.8,0,9.25,11.32,14.19
35.9,0,9.79,11.64,14.14
36,0,4.4,10.61,13.67
36.1,0,-3.55,8.81,13.27
36.2,0,-3.89,8.7,13.02
36.3,0,8.53,11.57,14.19
36.4,0,8.67,11.19,14.1
36.5,0,6.47,11.4,14.84
36.6,0,-0.83,9.92,14.08
36.7,0,1.83,10.01,13.42
36.8,0,8.31,11.59,14.72
36.9,0,12.74,12.72,15.23
37,0,13.67,13.17,15.42
37.1,0,7.58,11.86,15.46
37.2,0,-0.75,10.21,14.96
37.3,0,-3.24,9.46,14.52
37.4,0,3.9,10.11,13.56
37.5,0,9.56,11.88,14.88
37.6,0,9.31,12.06,15.12
37.7,0,1.25,10.68,14.91
37.8,0,0.17,10.75,15.12
37.9,0,4.42,11.31,14.95
38,0,9.74,12.11,15.18
38.1,0,11.76,13.12,15.85
38.2,0,7.14,12.16,15.27
38.3,0,2.92,10.93,14.45
38.4,0,-0.23,10.13,14.4
38.5,0,7.07,11.52,14.5
38.6,0,14.34,13.85,16.08
38.7,0,10.68,12.55,15.4
38.8,0,4.75,11.82,15.17
38.9,0,4.26,11.86,14.98
39,0,4.02,11.29,15.18
39.1,0,12.72,13.32,15.81
39.2,0,14,13.4,15.21
