x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
21.7,0,7.53,10.05,12.28,-17.37,0.62,5.06
21.8,0,7.86,10.18,12.4,-40.89,-4,3.42
21.9,0,10.56,10.97,12.79,-55.25,-6.8,2.43
22,0,10.06,10.93,12.41,-55.86,-6.11,2.45
22.1,0,4.23,9.46,11.72,-47.96,-4.04,3.74
22.2,0,5.3,9.9,12.57,-18.68,1.2,5.02
22.3,0,4.48,9.48,12,-18.78,0.89,5.13
22.4,0,4.97,9.64,12.13,-21.65,0.47,4.97
22.5,0,9.97,10.94,13.13,-20.9,0.93,5.23
22.6,0,11,10.99,12.67,-29.85,-1.24,3.62
22.7,0,9.05,10.66,12.49,-42.67,-3.6,3.41
22.8,0,9.27,11.2,12.97,-17.06,1.46,5.19
22.9,0,8.69,11.44,13.85,-16.66,0.83,4.66
23,0,8.24,10.66,12.9,-23.39,-0.65,4.35
23.1,0,10.5,11.53,14.15,-33.64,-1.9,4.16
23.2,0,11.45,11.77,13.7,-28.37,-1.03,4.71
23.3,0,9.21,11.33,13.32,-29.4,-1.39,4.54
23.4,0,8.38,11.13,13.36,-23.89,0.02,4.67
23.5,0,7.49,10.85,13.78,-10.25,2.51,5.44
23.6,0,7.42,10.63,13.55,-19.83,0.03,5.33
23.7,0,11.68,11.9,14.32,-27.46,-1.12,5.05
23.8,0,13.54,12.68,15.1,-34.53,-2.55,3.96
23.9,0,9.6,11.85,14.85,-40.41,-3.61,3.51
24,0,5.15,10.95,14.34,-62.74,-7.82,1.95
24.1,0,4.28,10.56,14.11,-39.14,-3.1,4.07
24.2,0,7.51,11.07,14.36,-33.34,-1.91,4.32
24.3,0,12.73,12.42,14.69,-40.06,-3.34,3.58
24.4,0,14.04,12.72,14.65,-40.95,-3.62,2.95
24.5,0,10.04,11.86,14.27,-30.81,-1.18,3.73
24.6,0,8.97,12.16,15.05,-29.29,-0.64,5.17
24.7,0,9.57,12.25,14.86,-31.85,-1.42,4.9
24.8,0,11.76,12.38,14.49,-31.33,-2.25,3.87
24.9,0,13.77,13.07,15.21,-44.88,-5.05,3.15
25,0,12.43,13.34,15.68,-58.85,-8.63,1.88
25.1,0,11.05,13.36,15.66,-51.83,-6.9,2.86
25.2,0,11.85,13.41,15.3,-43.45,-5.83,2.36
25.3,0,13.49,13.08,15.1,-33.78,-3.89,2.94
25.4,0,14.78,13.93,16.22,-56.66,-8.83,1.54
25.5,0,12.81,12.96,15.01,-78.76,-12.53,0.27
25.6,0,9.99,12.53,14.97,-89.08,-13.76,0.08
25.7,0,5.47,11.04,14.13,-96.35,-14.53,-0.2
25.8,0,8.53,10.72,13.55,-93.55,-13.69,0.23
25.9,0,7.84,10.17,13.31,-28.91,-1.29,4.44
26,0,4.45,9.7,12.86,-5.54,3.6,6.41
26.1,0,5.48,10.51,13.08,-6.36,3.53,6.44
26.2,0,6.36,11.07,14.02,-11.91,1.98,5.76
26.3,0,8.57,10.96,13.48,-18.17,1.3,5.54
26.4,0,13.77,11.91,13.43,-25.06,0.24,5.2
26.5,0,12.53,11.38,12.49,-44.48,-4.65,2.22
26.6,0,4.53,10.16,13.46,-21.44,0.3,5.12
26.7,0,4.64,10.48,13.25,-12.32,2.31,5.24
26.8,0,6.48,10.28,12.59,-8.7,2.94,6.06
26.9,0,9.98,10.85,12.82,-13.19,1.39,5.2
27,0,13.7,11.95,13.66,-27.92,-0.69,5.02
27.1,0,10.36,10.73,12.49,-32.1,-0.87,5.05
27.2,0,3.9,10,13.28,-32.08,-1.09,4.66
27.3,0,7.74,10.62,12.9,-26.71,-0.01,5.16
27.4,0,9.49,10.78,12.37,-5.95,5.32,7.22
27.5,0,11.84,10.92,11.88,9.81,8.37,8.38
27.6,0,11.57,11.05,12.19,1.82,6.95,7.83
27.7,0,7.48,10.85,13.3,18.91,10.26,8.89
27.8,0,9.37,10.75,12.14,45.57,15.02,10.76
27.9,0,10.26,11.07,12.73,-0.8,4.89,7.05
28,0,12.12,11.66,13.22,-24.86,0.2,5.42
28.1,0,12.53,11.41,12.61,-16.27,2.39,6.63
28.2,0,7.82,10.33,12.51,-16.19,1.71,6.39
28.3,0,5.61,9.71,12.12,-23.93,-0.36,5.13
28.4,0,7.34,9.76,11.58,-40.82,-3.03,3.73
28.5,0,10.75,10.32,11.8,-49.9,-4.88,2.99
28.6,0,10.77,10.08,10.77,-29.38,-1.14,4.72
28.7,0,6.5,8.79,9.97,-26.46,-1.49,4.41
28.8,0,6.06,9.8,12.18,-37.75,-3.5,3.98
28.9,0,6.61,9.85,12.48,-35.21,-2.66,4.21
29,0,9.67,10.77,12.61,-32.53,-2.88,3.91
29.1,0,11.47,10.72,12.6,-31.25,-3.01,2.95
29.2,0,9.43,10.63,12.21,-46.31,-4.56,3.71
29.3,0,8.35,10.34,12.21,-48.09,-4.1,3.67
29.4,0,7.04,10.1,12.32,-37.36,-1.51,4.75
29.5,0,8.15,10.16,12.11,-31.25,-0.33,5.25
29.6,0,10.86,10.42,11.86,-9.75,4.31,6.7
29.7,0,8.74,10.7,12.86,31.23,11.92,9.49
