x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,25.52,2.42,23.8,3.52,29.49,6,20.27,31.95,2.1,8.3,
0,0,24.92,2.38,23.59,3.51,28.6,5.75,18.02,26.91,1,9,
0,0,25.02,2.33,23.83,3.49,29.56,6.06,20.32,32.02,2.1,9,
0,0,24.13,2.24,23.41,3.3,29.45,5.56,15.6,46.98,3.3,5.8,
0,0,24.01,2.17,23.55,3.22,29.19,5.14,15.46,46.57,3.3,6.5,
0,0,23.5,2.07,23.41,3.14,28.62,5.03,14.67,41.72,3.1,7,
0,0,23.03,2,23.31,3.13,29.45,4.78,15.6,46.98,3.3,5.5,
0,0,22.61,2.07,22.31,3.2,28.1,5.07,14.4,40.96,3.1,5.4,
0,0,21.53,2.13,21.27,3.23,26.21,4.8,13.43,38.2,3.1,6.3,
0,0,20.12,2.05,20.16,2.95,14.21,7.59,30.2,1.07,2.2,6.2,
0,0,18.79,2,19.07,2.81,20.27,7.6,15.02,20.91,2.7,6,
0,0,16.27,1.77,18.33,2.47,33.63,8.56,1.2,164.95,5.1,10.3,
0,0,15.21,1.57,17.91,2.31,22.41,4.46,7.91,33.04,2.5,4,
0,0,13.94,1.42,17.08,2.2,22.71,3.52,4.39,38.06,2.5,3.1,
0,0,14.49,1.66,16.72,2.49,17.16,3.93,14.14,16.28,1.5,4.8,
0,0,15.64,1.92,16.98,2.8,15.86,5.46,17.68,10.34,3.2,6.4,
0,0,14.15,1.78,16.31,2.58,20.03,4.98,7.48,31.94,3.1,3.8,
0,0,9,1.2,14.57,1.84,16.07,2.85,1.14,21.05,1.5,8,
0,0,8.83,1.06,14.49,1.71,16.22,3.28,1.15,21.25,1.5,8.4,
0,0,11.24,1.35,14.61,2.17,17.38,3.19,3.61,27.1,2.5,2.7,
0,0,12.68,1.54,14.92,2.4,18.71,3.35,6.99,29.84,3.1,4.2,
0,0,13.05,1.63,14.76,2.54,17.84,3.94,6.66,28.45,3.1,4.7,
0,0,13.82,1.73,14.75,2.75,17.61,4.4,9.19,25.06,3.4,6.4,
0,0,13.39,1.64,14.6,2.47,17.39,3.92,9.07,24.74,3.4,7,
0,0,12.5,1.52,14.07,2.34,17.31,4.02,6.47,27.6,3.1,3.5,
0,0,12.52,1.57,13.72,2.42,16.98,4.11,6.34,27.08,3.1,3.9,
0,0,12.67,1.58,13.52,2.46,16.7,3.91,8.71,23.76,3.4,6.2,
0,0,13.17,1.65,13.96,2.59,16.79,4.31,8.76,23.89,3.4,5.9,
0,0,13.34,1.73,14.03,2.66,16.33,4.17,8.81,18.2,1.9,2.3,
0,0,12.61,1.76,13.3,2.65,15.37,4.02,8.29,17.13,1.9,2.6,
0,0,11.16,1.7,12.64,2.53,15.08,4.05,5.63,24.05,3.1,5.8,
0,0,9.84,1.69,12.17,2.53,14.8,4.19,3.07,23.08,2.5,3.6,
0,0,10.52,1.73,12.44,2.6,14.87,4.15,5.55,23.71,3.1,4.5,
0,0,10.64,1.76,12.49,2.66,14.32,4.16,2.64,14.98,0.9,5.3,
0,0,11.58,1.83,12.32,2.78,14.32,4.17,4.91,13.66,0.6,3.8,
0,0,12,1.95,12.04,2.91,13.63,4.18,10.38,13.57,3,3.5,
0,0,12.44,2.06,11.98,2.99,13.6,4.48,10.36,13.54,3,4,
0,0,10.32,1.8,11.75,2.56,13.58,3.83,4.66,12.95,0.6,4.2,
0,0,7.18,1.55,10.66,2.3,13.01,3.64,0.98,19.27,2.1,4.2,
0,0,8.77,1.62,11.16,2.53,13.4,4.04,2.92,19.85,2.5,3.3,
0,0,9.23,1.68,11.16,2.53,12.86,3.68,2.37,13.45,0.9,3.7,
0,0,10.3,1.83,10.76,2.73,12.25,3.85,4.2,11.68,0.6,3.4,
0,0,12.29,2,11.57,2.93,12.89,4.17,19.52,10.46,0.2,6.3,
0,0,9.74,1.75,10.88,2.56,12.52,3.81,4.29,11.94,0.6,2.8,
0,0,7.79,1.57,10.58,2.46,11.94,3.8,1.3,13.59,1.1,5.3,
0,0,8.24,1.61,10.75,2.54,12.25,3.83,2.25,12.81,0.9,4.4,
0,0,8.2,1.72,10.19,2.61,11.93,3.89,2.2,12.48,0.9,4.5,
0,0,9.86,1.97,10.65,2.9,11.93,4.06,4.09,11.38,0.6,2.3,
0,0,11.16,2.15,11.03,2.99,12.25,4.28,9.33,12.2,3,3.2,
0,0,7.19,1.71,10.02,2.4,12.04,3.59,0.91,17.83,2.1,5.4,
0,0,5.68,1.57,9.84,2.3,11.78,3.59,0.59,20.4,2.6,8,
0,0,7.23,1.56,9.91,2.45,11.07,3.85,1.2,12.6,1.1,5.7,
0,0,7.85,1.69,10.16,2.61,11.71,3.92,2.16,12.25,0.9,4.9,
0,0,10.67,2.08,10.46,2.93,11.76,3.92,8.95,11.71,3,2.7,
0,0,10.74,2.18,10.3,3.01,11.46,4.35,8.73,11.41,3,4.1,
0,0,6.83,1.81,9.46,2.57,10.72,3.68,1.17,12.2,1.1,5.3,
0,0,5.08,1.52,9.06,2.3,10.69,3.54,0.63,14.67,1.7,14.3,
0,0,7.49,1.43,9.95,2.23,11.25,3.28,1.22,12.8,1.1,6.3,
0,0,10.03,1.66,10.85,2.64,12.16,3.93,4.17,11.6,0.6,2.3,
0,0,10.73,1.81,10.82,2.69,12.05,3.83,9.17,12,3,2.3,
0,0,10.65,1.84,10.17,2.61,11.46,3.82,8.73,11.41,3,3.8,
0,0,8.44,1.72,9.53,2.57,10.86,3.94,3.73,10.36,0.6,2.9,
0,0,6.18,1.37,8.93,2.19,10.64,3.31,0.8,15.76,2.1,5.5,
0,0,7.25,1.35,9.55,2.15,10.79,3.16,1.99,11.29,0.9,4.7,
0,0,6.91,1.52,9.27,2.37,10.68,3.23,1.16,12.15,1.1,6.4,
0,0,7.18,1.58,9.28,2.39,11.13,3.48,2.42,16.48,2.5,2.7,
0,0,8.4,1.66,9.58,2.47,10.64,3.64,3.65,10.15,0.6,2.3,
