x,y,depth,EC
771337.8558,5084569.7288,0.1,6.35032539887388
771337.7664999999,5084568.454366666,0.1,6.969623369160784
771337.6889666667,5084567.206733334,0.1,6.63330776941484
771337.6185,5084565.9956,0.1,6.264298092638983
771337.5432666667,5084564.794166666,0.1,6.378379965010225
771337.474,5084563.575666667,0.1,6.389111792000193
771337.4153666667,5084562.330433334,0.1,6.57907392721399
771337.3624999999,5084561.0282333335,0.1,6.191854030470434
771337.3046666667,5084559.695833334,0.1,6.4455654793016
771337.2186666667,5084558.326333333,0.1,6.4319898743277975
771337.1094333333,5084556.949966666,0.1,6.596654294639354
771336.9925666667,5084555.610033333,0.1,6.490447241687663
771336.8912999999,5084554.313433334,0.1,6.179393550172023
771336.8434,5084553.109466667,0.1,6.669825144158871
771336.8333,5084551.9548,0.1,7.588861786097432
771336.8528333334,5084550.8144000005,0.1,8.983336874338939
771336.8641666668,5084549.639,0.1,9.138232362181649
771336.8364666667,5084548.388300001,0.1,8.724668880812466
771336.7779000001,5084547.0973,0.1,8.489623169490828
771336.6742666666,5084545.731066667,0.1,8.775226107824729
771336.5564,5084544.329866666,0.1,8.57284187110082
771336.4549333333,5084542.918566667,0.1,7.832557510615283
771336.3841333333,5084541.5321,0.1,6.676697763936684
771336.3491000001,5084540.192366667,0.1,6.441497766210421
771336.3191666667,5084538.8745,0.1,6.255674448288964
771336.2624666668,5084537.561333333,0.1,5.924013478332366
771336.1738666665,5084536.231,0.1,5.906767489053383
771336.0555333333,5084534.929333333,0.1,5.713141860189417
771335.9392666667,5084533.6735000005,0.1,5.512498325077733
771335.8352,5084532.459966666,0.1,5.200688513061614
771335.7412,5084531.242866666,0.1,5.890074877083595
771335.6960666667,5084529.961433333,0.1,6.696873124213969
771335.6896666667,5084528.619233333,0.1,8.510979743073637
771335.6680999999,5084527.209566667,0.1,8.634563115080798
771335.5925666667,5084525.793233334,0.1,9.95316231815484
771335.4511000001,5084524.402733333,0.1,9.539441502787405
771335.2976,5084523.044799999,0.1,8.891155320741639
771335.1460666667,5084521.720966666,0.1,7.278878799439671
771335.0085333334,5084520.398666666,0.1,7.096855876150968
771334.8899333334,5084519.063,0.1,6.952192856828017
771334.7763333333,5084517.712366667,0.1,6.81424390153359
771334.6789333333,5084516.341466666,0.1,6.154093182599375
771334.5928000001,5084514.965166667,0.1,6.434643390399039
771334.4706333332,5084513.621933334,0.1,6.8654154898523565
771334.3012333334,5084512.3171,0.1,6.727522976251628
771334.0912333332,5084511.061199999,0.1,6.364277188687925
771333.8879,5084509.8158,0.1,6.093306889625207
771333.7149,5084508.547900001,0.1,6.010781077320111
771333.5656,5084507.247033333,0.1,7.718794375384895
771333.4356666667,5084505.884266667,0.1,7.539656843357658
771333.3013666667,5084504.492566667,0.1,8.394967390578959
771333.1707666666,5084503.095766666,0.1,7.155148646491099
771333.0481666666,5084501.722800001,0.1,7.100790441927558
771332.9422999999,5084500.452,0.1,7.1431157616506376
771332.8450666666,5084499.2595,0.1,6.946803395601201
771332.7603666667,5084498.1609,0.1,7.685319691621252
771332.6795,5084497.077933334,0.1,7.982942642861218
771332.5952333333,5084495.9744,0.1,8.760721906183548
771332.5036999999,5084494.8347,0.1,8.905540086903432
771332.4137333333,5084493.763099999,0.1,8.092599690327827
771332.3325666668,5084492.7957666665,0.1,7.294508909595219
771332.3141666666,5084492.067100001,0.1,6.909865511901312
771332.3497000001,5084491.472833333,0.1,6.589296517537186
771332.4657666668,5084491.028366666,0.1,7.594695545533959
771332.6083666667,5084490.599266667,0.1,9.695359639653285
771332.7923333333,5084490.222366666,0.1,10.59459735343939
771332.9910666667,5084489.8823,0.1,10.61099261718484
771333.2227666667,5084489.643566666,0.1,9.717460225150608
