x,y,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8,depth9,depth10,depth11,depth12,depth13,depth14
771342.7105,5084644.677733333,6.071607406384054,8.472354694253067,17.703144262592804,27.490973970419216,35.07616191119554,40.15639268912621,43.193903907658594,44.737925195434144,45.23821430127724,45.02427946146276,44.327574944535456,43.30820948303678,42.076548100881354,40.708791382614166,39.257734339115885,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.5237666667,5084643.442633334,6.6319988249501485,8.297119105606921,17.047931568086366,26.592654806832584,34.07654530119391,39.13719080464834,42.202058318840976,43.800167801821146,44.369379662944155,44.23211706273315,43.61557937421229,42.67731100207446,41.52613739063595,40.2373488221445,38.86322051559038,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.4895333335,5084642.306666668,6.8228269723627335,8.326723098341756,16.923980506882415,26.338620856329925,33.717322216527975,38.69489756351902,41.69439864778755,43.240637375698995,43.76809733361782,43.59667197136026,42.95171333510107,41.98942375911281,40.817648874591974,39.5109564989557,38.12108257548846,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.5074,5084641.213833333,6.252029953169018,7.862588041377904,16.37073820005812,25.655938465966024,32.94145841285993,37.87417156652734,40.86875315991739,42.43866337412834,43.00891989240242,42.89250823786877,42.309997781643375,41.41435642956351,40.31126815459331,39.073867751129924,37.75294972608672,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.5482000001,5084640.165566667,6.766520303898371,7.99132091378662,16.24491169422897,25.40139521109132,32.63251268919296,37.552356181024514,40.5572029435458,42.15021524541476,42.75054997923307,42.667797943003364,42.12053503052769,41.26054977051471,40.19282935314205,38.99010280321016,37.702936720670415,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.5597666666,5084639.118833333,7.120680006662823,8.447373342849811,16.715400546915163,25.817317787267385,32.95454477668598,37.760440307345576,40.642800135532106,42.11144029446427,42.58922459704753,42.38770494154341,41.72640114176376,40.757461977135456,39.585906484510765,38.284316663563374,36.90302047758648,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.5342333334,5084638.0312,7.704861145164543,8.560447467358141,16.474352525741942,25.381396325844495,32.43099807794538,37.21379940894168,40.110888676662995,41.616153315731346,42.14297321389799,41.99720475677492,41.39491629228601,40.486153221178085,39.374653295894085,38.13222555879281,36.80874301330711,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.5008,5084636.901166667,7.881401199765083,8.600927910275228,16.389344952928337,25.220282717004714,32.23596217296213,37.0135308517089,39.92347557675766,41.45255144292174,42.00956524751834,41.89748974597599,41.33058620743101,40.45777227018711,39.382086794497354,38.174911916271135,36.88586715770809,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.485,5084635.6946,7.54033189611868,8.262583633798574,15.99437901262903,24.750618057428092,31.69674191685939,36.41578623961762,39.27777432595347,40.76749737281131,41.29183025049491,41.152195852509976,40.561687516523506,39.66835822241049,38.57460636376299,37.35133557119774,36.047803490041986,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
771342.4946666667,5084634.453899999,7.191989851790424,7.741061062386489,15.329682062132267,24.00657629497547,30.931485130419922,35.67195423050076,38.583305323651835,40.13934850377551,40.73952472815466,40.68045295390935,40.17220007050199,39.36094821005417,38.34796424504254,37.2034904186625,35.97642120296213,0.1,0.2,0.30000000000000004,0.4,0.5,0.6,0.7000000000000001,0.8,0.9,1.0,1.1,1.2000000000000002,1.3000000000000003,1.4000000000000001
