3032 1635 1
312 296 417 450 312 1
313 343 280 437 313 1
314 365 360 366 314 1
315 368 315 412 315 1
316 399 359 400 316 1
317 318 285 319 317 1
318 353 362 418 318 1
319 365 367 392 319 1
320 354 351 355 320 1
321 446 288 447 321 1
322 307 281 308 322 1
323 299 371 429 323 1
324 277 302 345 324 1
325 329 328 332 325 1
326 327 326 328 326 1
327 318 320 321 327 1
328 288 342 447 328 1
329 303 306 375 329 1
330 326 276 336 330 1
331 339 303 340 331 1
332 325 276 326 332 1
333 306 312 375 333 1
334 289 423 424 334 1
335 349 396 421 335 1
336 286 304 346 336 1
337 304 130 307 337 1
338 372 340 373 338 1
339 326 336 420 339 1
340 401 283 403 340 1
341 417 295 450 341 1
342 389 401 402 342 1
343 396 289 415 343 1
344 282 391 434 344 1
345 398 401 403 345 1
346 350 419 430 346 1
347 383 317 422 347 1
348 370 446 447 348 1
349 416 295 417 349 1
350 380 321 382 350 1
351 391 310 434 351 1
352 302 303 339 352 1
353 328 326 420 353 1
354 351 349 421 354 1
355 293 427 428 355 1
356 282 386 391 356 1
357 283 112 403 357 1
358 381 380 384 358 1
359 101 284 378 359 1
360 121 282 434 360 1
361 392 367 414 361 1
362 113 283 435 362 1
363 395 410 439 363 1
364 282 120 385 364 1
365 318 319 320 365 1
366 398 399 401 366 1
367 427 335 446 367 1
368 405 409 413 368 1
369 342 343 447 369 1
370 348 329 423 370 1
371 111 398 403 371 1
372 410 323 439 372 1
373 281 128 393 373 1
374 102 378 395 374 1
375 445 296 450 375 1
376 310 122 434 376 1
377 390 114 435 377 1
378 119 364 385 378 1
379 110 359 398 379 1
380 418 358 419 380 1
381 354 355 426 381 1
382 280 337 437 382 1
383 284 100 377 383 1
384 103 395 439 384 1
385 312 313 375 385 1
386 115 390 397 386 1
387 409 323 410 387 1
388 364 118 406 388 1
389 352 116 397 389 1
390 117 352 406 390 1
391 401 399 402 391 1
392 427 297 428 392 1
393 359 109 404 393 1
394 123 310 411 394 1
395 313 356 357 395 1
396 323 104 439 396 1
397 329 332 423 397 1
398 282 385 386 398 1
399 355 351 421 399 1
400 404 108 407 400 1
401 309 414 443 401 1
402 332 333 448 402 1
403 398 359 399 403 1
404 345 302 444 404 1
405 309 124 411 405 1
406 414 311 443 406 1
407 127 311 393 407 1
408 105 323 408 408 1
409 378 284 379 409 1
410 338 372 449 410 1
411 400 404 407 411 1
412 337 338 437 412 1
413 408 323 409 413 1
414 125 309 443 414 1
415 428 261 433 415 1
416 107 322 407 416 1
417 322 106 408 417 1
418 311 126 443 418 1
419 394 311 414 419 1
420 393 311 394 420 1
421 437 338 449 421 1
422 304 307 312 422 1
423 302 339 444 423 1
