    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   75   80        26   31        0.99328          655.61284      776.23967         0.58812E+01    0.58812E+01    0
   76   81        26   31        0.90205          645.80009      761.76114         0.54622E+01    0.54622E+01    0
   77   82        26   31        0.94377          610.67419      741.00215         0.48789E+01    0.48789E+01    0
   78   83        26   31        0.89135          595.20897      725.84823         0.44920E+01    0.44920E+01    0
   79   84        26   31        0.88847          579.04990      717.96633         0.41318E+01    0.41318E+01    0
   80   85        26   31        0.88312          570.76195      717.78018         0.38532E+01    0.38532E+01    0
   81   86        26   31        0.87554          568.92755      723.79410         0.36367E+01    0.36367E+01    0
   82   87        26   31        0.88872          570.98737      738.27601         0.34587E+01    0.34587E+01    0
   83   88        26   31        0.85300          584.77202      753.82042         0.33591E+01    0.33591E+01    0
   84   89        26   31        0.80112          576.82055      744.09107         0.31462E+01    0.31462E+01    0
   85   90        26   31        0.75348          555.58666      721.71293         0.28802E+01    0.28802E+01    0
   86   91        26   31        0.68975          542.30144      701.89309         0.26739E+01    0.26739E+01    0
   90   95        26   31        0.57510          410.30997      579.12727         0.16688E+01    0.16688E+01    0
   91   96        26   31        0.53423          380.88858      546.61263         0.14789E+01    0.14789E+01    0
   33   38        27   32        4.41156          611.50477      736.21009         0.33333E+02    0.23770E+02    1
   34   39        27   32        0.88428          874.52463      898.03522         0.33333E+02    0.33333E+02    0
   35   40        27   32       -0.54771         1065.42296     1045.35447         0.33332E+02    0.28803E+02    1
   36   41        27   32       -0.94989         1199.55351     1156.23510         0.33330E+02    0.25826E+02    1
   37   42        27   32       -0.70389         1219.39144     1187.46340         0.33327E+02    0.26529E+02    1
   38   43        27   32       -0.69580         1242.81894     1210.12060         0.33321E+02    0.26097E+02    1
   39   44        27   32       -0.50009         1232.90236     1209.93230         0.33311E+02    0.26591E+02    1
   40   45        27   32       -0.50187         1242.63819     1219.07262         0.33296E+02    0.26212E+02    1
   41   46        27   32       -0.52495         1248.63857     1223.61044         0.33273E+02    0.25926E+02    1
   42   47        27   32       -0.46756         1231.11237     1209.36926         0.33236E+02    0.26239E+02    1
   43   48        27   32       -0.67512         1250.90059     1217.99299         0.33191E+02    0.25324E+02    1
   44   49        27   32       -0.69155         1247.42823     1213.93168         0.33122E+02    0.25406E+02    1
   45   50        27   32       -0.78130         1238.54566     1201.17343         0.33027E+02    0.25500E+02    1
   46   51        27   32       -0.77678         1229.25613     1193.07631         0.32898E+02    0.26002E+02    1
   47   52        27   32       -0.76103         1235.22832     1200.51436         0.32743E+02    0.26697E+02    1
   48   53        27   32       -0.82940         1233.99755     1196.93627         0.32538E+02    0.27199E+02    1
   49   54        27   32       -0.68764         1191.76362     1164.09789         0.32212E+02    0.29276E+02    1
   50   55        27   32       -0.77568         1188.27408     1157.93621         0.31870E+02    0.29992E+02    1
   51   56        27   32       -0.78800         1175.63297     1146.49977         0.31429E+02    0.31403E+02    1
   52   57        27   32       -0.57617         1141.27398     1120.12989         0.30810E+02    0.30810E+02    0
   53   58        27   32       -0.48907         1113.89778     1095.93430         0.30082E+02    0.30082E+02    0
   54   59        27   32       -0.35198         1088.67641     1075.64334         0.29226E+02    0.29226E+02    0
   55   60        27   32       -0.17810         1048.35138     1041.73153         0.28116E+02    0.28116E+02    0
   56   61        27   32       -0.12800         1021.50611     1016.66636         0.26951E+02    0.26951E+02    0
   57   62        27   32        0.00613          996.18857      996.42660         0.25677E+02    0.25677E+02    0
   58   63        27   32        0.04804          973.16118      975.08481         0.24328E+02    0.24328E+02    0
   59   64        27   32        0.12333          958.47920      963.62965         0.23014E+02    0.23014E+02    0
   60   65        27   32        0.27451          950.36117      962.42791         0.21757E+02    0.21757E+02    0
   61   66        27   32        0.36975          952.84600      970.06666         0.20643E+02    0.20643E+02    0
   62   67        27   32        0.54110          933.87350      960.48638         0.19257E+02    0.19257E+02    0
   63   68        27   32        0.67107          932.62612      967.76841         0.18143E+02    0.18143E+02    0
   64   69        27   32        0.76075          934.25007      976.73095         0.17108E+02    0.17108E+02    0
   65   70        27   32        0.91498          931.12958      985.73148         0.16056E+02    0.16056E+02    0
   66   71        27   32        1.02552          909.55391      978.41177         0.14817E+02    0.14053E+02    1
   67   72        27   32        1.03820          915.54666      993.32275         0.13995E+02    0.12733E+02    1
   68   73        27   32        1.08526          912.15911     1002.52634         0.13106E+02    0.11489E+02    1
   69   74        27   32        1.06845          887.61583      982.05858         0.12026E+02    0.10567E+02    1
   70   75        27   32        1.09610          836.23409      938.19557         0.10713E+02    0.95272E+01    1
   71   76        27   32        1.07090          801.39175      903.65579         0.96770E+01    0.89168E+01    1
   72   77        27   32        1.00534          769.30867      865.70607         0.87514E+01    0.85160E+01    1
   73   78        27   32        1.02803          704.43721      806.93394         0.75678E+01    0.75678E+01    0
   74   79        27   32        0.95800          689.98919      791.58495         0.69743E+01    0.69743E+01    0
   75   80        27   32        0.91384          672.22104      775.41615         0.63989E+01    0.63989E+01    0
   76   81        27   32        0.87491          655.44653      760.60773         0.58798E+01    0.58798E+01    0
   77   82        27   32        0.87024          627.75488      739.46480         0.53135E+01    0.53135E+01    0
   78   83        27   32        0.87512          603.81603      723.88466         0.48252E+01    0.48252E+01    0
   79   84        27   32        0.87801          586.83862      715.47538         0.44300E+01    0.44300E+01    0
   80   85        27   32        0.87262          578.57930      714.75551         0.41285E+01    0.41285E+01    0
   81   86        27   32        0.86416          576.90574      720.24719         0.38941E+01    0.38941E+01    0
   82   87        27   32        0.87856          579.02487      734.18993         0.37004E+01    0.37004E+01    0
   83   88        27   32        0.83890          593.15568      749.22325         0.35915E+01    0.35915E+01    0
   84   89        27   32        0.78742          584.68181      739.15924         0.33586E+01    0.33586E+01    0
   85   90        27   32        0.73832          563.58940      716.55909         0.30746E+01    0.30746E+01    0
   86   91        27   32        0.67604          549.29220      696.46507         0.28478E+01    0.28478E+01    0
   87   92        27   32        0.64638          521.24596      670.26040         0.25707E+01    0.25707E+01    0
   90   95        27   32        0.57798          412.40330      572.87030         0.17586E+01    0.17586E+01    0
   91   96        27   32        0.54352          380.10844      540.21147         0.15463E+01    0.15463E+01    0
   34   39        28   33        4.35576          598.47383      725.28920         0.33333E+02    0.22664E+02    1
   35   40        28   33        1.01180          865.91249      892.60001         0.33333E+02    0.33333E+02    0
   36   41        28   33       -0.72187         1046.89489     1020.82488         0.33332E+02    0.28626E+02    1
   37   42        28   33       -0.67975         1096.26724     1069.59437         0.33330E+02    0.27597E+02    1
   38   43        28   33       -0.72036         1138.07243     1107.54422         0.33326E+02    0.26493E+02    1
   39   44        28   33       -0.50099         1140.74743     1119.63905         0.33319E+02    0.26823E+02    1
   40   45        28   33       -0.47689         1159.36776     1138.57887         0.33308E+02    0.26357E+02    1
   41   46        28   33       -0.48794         1173.89995     1152.04320         0.33292E+02    0.25962E+02    1
   42   47        28   33       -0.40239         1163.93191     1146.24306         0.33264E+02    0.26276E+02    1
   43   48        28   33       -0.59209         1189.11167     1161.66460         0.33229E+02    0.25354E+02    1
   44   49        28   33       -0.62323         1192.88313     1163.82667         0.33177E+02    0.25273E+02    1
   45   50        28   33       -0.71697         1190.38036     1157.08071         0.33102E+02    0.25270E+02    1
   46   51        28   33       -0.72766         1187.54532     1154.27624         0.33001E+02    0.25608E+02    1
   47   52        28   33       -0.73233         1199.24886     1166.05962         0.32877E+02    0.26094E+02    1
   48   53        28   33       -0.83760         1204.53585     1166.76819         0.32713E+02    0.26293E+02    1
   49   54        28   33       -0.67621         1165.83694     1138.25320         0.32446E+02    0.28241E+02    1
   50   55        28   33       -0.77359         1166.43346     1135.45758         0.32165E+02    0.28742E+02    1
   51   56        28   33       -0.79372         1157.63179     1127.25196         0.31797E+02    0.29846E+02    1
   52   57        28   33       -0.65917         1127.39675     1103.88542         0.31277E+02    0.31277E+02    0
   53   58        28   33       -0.58340         1103.10177     1082.30594         0.30653E+02    0.30653E+02    0
   54   59        28   33       -0.46832         1081.16912     1064.37314         0.29911E+02    0.29911E+02    0
   55   60        28   33       -0.30312         1043.42496     1032.54961         0.28931E+02    0.28931E+02    0
   56   61        28   33       -0.26220         1018.79164     1009.25534         0.27880E+02    0.27880E+02    0
   57   62        28   33       -0.13550          995.53572      990.49782         0.26708E+02    0.26708E+02    0
   58   63        28   33       -0.10226          974.37000      970.46183         0.25444E+02    0.25444E+02    0
   59   64        28   33       -0.02976          961.34268      960.16051         0.24188E+02    0.24188E+02    0
   60   65        28   33        0.12514          954.72190      959.93818         0.22966E+02    0.22966E+02    0
   61   66        28   33        0.22589          958.54854      968.50301         0.21864E+02    0.21864E+02    0
   62   67        28   33        0.40498          941.06470      959.85487         0.20484E+02    0.20484E+02    0
   63   68        28   33        0.54260          941.21520      967.97152         0.19357E+02    0.19357E+02    0
   64   69        28   33        0.63925          944.18752      977.75238         0.18300E+02    0.18300E+02    0
   65   70        28   33        0.80833          942.11861      987.41409         0.17214E+02    0.17214E+02    0
   66   71        28   33        0.96677          920.97049      980.64390         0.15921E+02    0.15399E+02    1
   67   72        28   33        0.97255          928.83968      996.11050         0.15067E+02    0.13909E+02    1
   68   73        28   33        1.02311          926.58006     1005.66362         0.14133E+02    0.12492E+02    1
   69   74        28   33        1.01012          902.29556      985.46014         0.12986E+02    0.11457E+02    1
   70   75        28   33        1.04532          850.72278      941.54965         0.11588E+02    0.10305E+02    1
   71   76        28   33        1.02234          815.60629      906.90008         0.10475E+02    0.96355E+01    1
   72   77        28   33        0.91523          787.52906      868.66307         0.95234E+01    0.93338E+01    1
   73   78        28   33        0.98674          717.59369      809.35550         0.81999E+01    0.81999E+01    0
   74   79        28   33        0.91733          702.87618      793.65675         0.75519E+01    0.75519E+01    0
   75   80        28   33        0.87500          684.86797      777.11204         0.69248E+01    0.69248E+01    0
   76   81        28   33        0.84081          667.50947      761.92419         0.63556E+01    0.63556E+01    0
   77   82        28   33        0.88518          633.66740      740.32384         0.56902E+01    0.56902E+01    0
   78   83        28   33        0.85307          614.80642      724.25969         0.52066E+01    0.52066E+01    0
   79   84        28   33        0.85774          597.73583      715.28446         0.47777E+01    0.47777E+01    0
   80   85        28   33        0.85491          589.13934      714.01622         0.44470E+01    0.44470E+01    0
   81   86        28   33        0.84525          587.71683      718.99095         0.41927E+01    0.41927E+01    0
   82   87        28   33        0.86157          589.87558      732.42652         0.39804E+01    0.39804E+01    0
   83   88        28   33        0.81922          604.09355      746.98461         0.38585E+01    0.38585E+01    0
   84   89        28   33        0.76651          595.47887      736.54289         0.36054E+01    0.36054E+01    0
   85   90        28   33        0.72143          573.26163      713.63884         0.32937E+01    0.32937E+01    0
   86   91        28   33        0.65744          558.71237      693.19571         0.30482E+01    0.30482E+01    0
   87   92        28   33        0.64456          526.43293      666.61546         0.27301E+01    0.27301E+01    0
   88   93        28   33        0.59529          492.07072      628.81786         0.24276E+01    0.24276E+01    0
   89   94        28   33        0.58648          451.02941      594.90035         0.21183E+01    0.21183E+01    0
   35   40        29   34        4.18310          594.12948      716.87454         0.33333E+02    0.22274E+02    1
   36   41        29   34        0.57197          860.01910      874.90392         0.33333E+02    0.33333E+02    0
   37   42        29   34       -0.43374          957.50933      944.42695         0.33332E+02    0.31529E+02    1
   38   43        29   34       -0.72834         1026.01633      999.51433         0.33329E+02    0.27832E+02    1
   39   44        29   34       -0.51361         1044.24252     1025.05323         0.33325E+02    0.27692E+02    1
   40   45        29   34       -0.48152         1073.42319     1054.39792         0.33317E+02    0.26926E+02    1
   41   46        29   34       -0.47327         1096.65846     1077.16241         0.33305E+02    0.26384E+02    1
   42   47        29   34       -0.36315         1094.83848     1080.01972         0.33285E+02    0.26648E+02    1
   43   48        29   34       -0.54207         1125.98851     1102.42220         0.33259E+02    0.25628E+02    1
   44   49        29   34       -0.54840         1135.10400     1110.99819         0.33219E+02    0.25548E+02    1
   45   50        29   34       -0.65144         1139.32269     1110.48606         0.33162E+02    0.25411E+02    1
   46   51        29   34       -0.66648         1142.51622     1113.20917         0.33082E+02    0.25648E+02    1
   47   52        29   34       -0.67755         1159.35514     1129.55543         0.32984E+02    0.26020E+02    1
   48   53        29   34       -0.82854         1171.66841     1134.79278         0.32855E+02    0.25909E+02    1
   49   54        29   34       -0.62838         1136.12894     1110.86140         0.32639E+02    0.27939E+02    1
   50   55        29   34       -0.73803         1141.04361     1111.65017         0.32409E+02    0.28279E+02    1
   51   56        29   34       -0.76051         1136.05557     1106.89482         0.32105E+02    0.29246E+02    1
   52   57        29   34       -0.65655         1109.91065     1086.74372         0.31672E+02    0.31126E+02    1
   53   58        29   34       -0.61177         1089.15854     1067.97307         0.31145E+02    0.31145E+02    0
   54   59        29   34       -0.50851         1070.27027     1052.57825         0.30507E+02    0.30507E+02    0
   55   60        29   34       -0.36347         1035.62286     1023.00619         0.29653E+02    0.29653E+02    0
   56   61        29   34       -0.34018         1013.56248     1001.62757         0.28719E+02    0.28719E+02    0
   57   62        29   34       -0.22449          992.50363      984.48045         0.27658E+02    0.27658E+02    0
   58   63        29   34       -0.20414          973.33710      965.86532         0.26490E+02    0.26490E+02    0
   59   64        29   34       -0.14444          962.30027      956.82434         0.25311E+02    0.25311E+02    0
   60   65        29   34        0.00965          957.29798      957.68059         0.24140E+02    0.24140E+02    0
   61   66        29   34        0.10623          962.82568      967.26987         0.23068E+02    0.23068E+02    0
   62   67        29   34        0.28927          946.94310      959.64365         0.21712E+02    0.21712E+02    0
   63   68        29   34        0.43525          948.42003      968.68822         0.20584E+02    0.20584E+02    0
   64   69        29   34        0.53757          952.77051      979.38213         0.19514E+02    0.19514E+02    0
   65   70        29   34        0.72203          951.71112      989.79636         0.18402E+02    0.18402E+02    0
   66   71        29   34        0.91248          931.47244      983.65313         0.17071E+02    0.16741E+02    1
   67   72        29   34        0.92176          940.31125      999.77135         0.16178E+02    0.15033E+02    1
   68   73        29   34        0.98108          938.60789     1009.76282         0.15193E+02    0.13426E+02    1
   69   74        29   34        0.96679          915.06337      989.88263         0.13989E+02    0.12301E+02    1
   70   75        29   34        1.01370          862.85863      945.94894         0.12500E+02    0.11026E+02    1
   71   76        29   34        0.99089          827.68616      911.21527         0.11311E+02    0.10306E+02    1
   72   77        29   34        0.86362          800.75499      872.70268         0.10302E+02    0.10037E+02    1
   73   78        29   34        0.96849          728.70373      812.83304         0.88642E+01    0.88642E+01    0
   74   79        29   34        0.89836          713.72589      796.80836         0.81584E+01    0.81584E+01    0
   75   80        29   34        0.85403          695.74655      779.90587         0.74791E+01    0.74791E+01    0
   76   81        29   34        0.81981          678.26710      764.35453         0.68609E+01    0.68609E+01    0
   77   82        29   34        0.88924          641.91651      742.29856         0.61203E+01    0.61203E+01    0
   78   83        29   34        0.84201          624.62914      725.75614         0.56113E+01    0.56113E+01    0
   79   84        29   34        0.85018          607.09651      716.22756         0.51429E+01    0.51429E+01    0
   80   85        29   34        0.84741          598.43859      714.43297         0.47832E+01    0.47832E+01    0
   81   86        29   34        0.83735          596.98155      718.92107         0.45052E+01    0.45052E+01    0
   82   87        29   34        0.85579          599.02842      731.89259         0.42720E+01    0.42720E+01    0
   83   88        29   34        0.81124          613.11789      746.01994         0.41349E+01    0.41349E+01    0
   84   89        29   34        0.75631          604.39588      735.20106         0.38604E+01    0.38604E+01    0
   85   90        29   34        0.71243          581.59382      711.97013         0.35223E+01    0.35223E+01    0
   86   91        29   34        0.64468          567.09495      691.15717         0.32586E+01    0.32586E+01    0
   87   92        29   34        0.63898          533.24661      664.16749         0.29104E+01    0.29104E+01    0
   88   93        29   34        0.58860          498.59170      625.99362         0.25866E+01    0.25866E+01    0
   89   94        29   34        0.57132          460.11267      591.74744         0.22707E+01    0.22707E+01    0
   36   41        30   35        3.79989          613.27103      720.33032         0.33333E+02    0.23616E+02    1
   37   42        30   35        0.89594          800.19822      821.99826         0.33333E+02    0.33333E+02    0
   38   43        30   35       -0.51633          911.32856      896.71091         0.33331E+02    0.31932E+02    1
   39   44        30   35       -0.47446          952.50563      937.36761         0.33329E+02    0.29616E+02    1
   40   45        30   35       -0.47341          994.86107      978.22470         0.33324E+02    0.28073E+02    1
   41   46        30   35       -0.44733         1027.82017     1011.08824         0.33316E+02    0.27254E+02    1
   42   47        30   35       -0.28536         1033.53601     1022.88959         0.33302E+02    0.27559E+02    1
   43   48        30   35       -0.48933         1072.58011     1052.71626         0.33283E+02    0.26177E+02    1
   44   49        30   35       -0.44763         1086.38070     1067.96268         0.33254E+02    0.26179E+02    1
   45   50        30   35       -0.51631         1095.32668     1073.87101         0.33211E+02    0.26099E+02    1
   46   51        30   35       -0.54291         1105.05039     1082.37667         0.33151E+02    0.26187E+02    1
   47   52        30   35       -0.54862         1126.77081     1103.69122         0.33075E+02    0.26509E+02    1
   48   53        30   35       -0.65211         1141.42544     1113.77493         0.32974E+02    0.26592E+02    1
   49   54        30   35       -0.51573         1114.61933     1094.43410         0.32806E+02    0.28220E+02    1
   50   55        30   35       -0.63586         1123.90653     1099.05827         0.32624E+02    0.28442E+02    1
   51   56        30   35       -0.66532         1123.16476     1097.94790         0.32381E+02    0.29299E+02    1
   52   57        30   35       -0.56773         1100.98097     1081.02227         0.32030E+02    0.31033E+02    1
   53   58        30   35       -0.55389         1083.90025     1065.06541         0.31598E+02    0.31598E+02    0
   54   59        30   35       -0.46454         1068.09276     1052.23992         0.31066E+02    0.31066E+02    0
   55   60        30   35       -0.33585         1036.17284     1024.76726         0.30343E+02    0.30343E+02    0
   56   61        30   35       -0.33717         1016.76566     1005.22550         0.29538E+02    0.29538E+02    0
   57   62        30   35       -0.24042          997.99197      989.63879         0.28604E+02    0.28604E+02    0
   58   63        30   35       -0.23989          980.86465      972.36261         0.27556E+02    0.27556E+02    0
   59   64        30   35       -0.18862          971.49842      964.60070         0.26472E+02    0.26472E+02    0
   60   65        30   35       -0.04682          968.44369      966.65869         0.25379E+02    0.25379E+02    0
   61   66        30   35        0.04157          975.82862      977.49545         0.24359E+02    0.24359E+02    0
   62   67        30   35        0.22997          961.26894      970.90798         0.23049E+02    0.23049E+02    0
   63   68        30   35        0.37172          964.61147      981.09186         0.21943E+02    0.21943E+02    0
   64   69        30   35        0.47780          970.46292      992.93109         0.20876E+02    0.20876E+02    0
   65   70        30   35        0.67090          970.78414     1004.32069         0.19754E+02    0.19754E+02    0
   66   71        30   35        0.88327          951.30785      998.82068         0.18396E+02    0.18123E+02    1
   67   72        30   35        0.89460          961.28131     1015.88265         0.17469E+02    0.16193E+02    1
   68   73        30   35        0.95039          961.13261     1026.52291         0.16449E+02    0.14439E+02    1
   69   74        30   35        0.93902          937.68968     1006.80106         0.15181E+02    0.13204E+02    1
   70   75        30   35        0.98846          885.24438      962.36117         0.13610E+02    0.11834E+02    1
   71   76        30   35        0.96866          849.35918      927.16674         0.12332E+02    0.11051E+02    1
   72   77        30   35        0.88690          816.58992      887.94081         0.11176E+02    0.10588E+02    1
   73   78        30   35        0.94528          748.87291      826.78178         0.96930E+01    0.95510E+01    1
   74   79        30   35        0.88743          733.52135      810.26334         0.89186E+01    0.89186E+01    0
   75   80        30   35        0.84444          714.98456      792.81895         0.81719E+01    0.81719E+01    0
   76   81        30   35        0.80909          697.24576      776.73325         0.74944E+01    0.74944E+01    0
   77   82        30   35        0.82126          667.68721      753.96005         0.67583E+01    0.67583E+01    0
   79   84        30   35        0.85317          623.97799      726.55393         0.56056E+01    0.56056E+01    0
   80   85        30   35        0.85101          615.05862      724.22299         0.52087E+01    0.52087E+01    0
   81   86        30   35        0.84102          613.44335      728.29571         0.49005E+01    0.49005E+01    0
   82   87        30   35        0.85998          615.72183      740.98508         0.46439E+01    0.46439E+01    0
   84   89        30   35        0.75408          621.01055      743.55057         0.41873E+01    0.41873E+01    0
   85   90        30   35        0.70786          597.95563      719.69543         0.38198E+01    0.38198E+01    0
   86   91        30   35        0.64067          582.23585      698.24454         0.35261E+01    0.35261E+01    0
   87   92        30   35        0.64002          547.00462      670.49256         0.31442E+01    0.31442E+01    0
   88   93        30   35        0.59915          508.97086      631.43930         0.27788E+01    0.27788E+01    0
   89   94        30   35        0.57559          471.36299      596.41232         0.24462E+01    0.24462E+01    0
   90   95        30   35        0.55736          440.10080      568.82650         0.21723E+01    0.21723E+01    0
   37   42        31   36        3.88918          599.86186      716.47884         0.33333E+02    0.21892E+02    1
   38   43        31   36        0.38586          796.63978      805.91534         0.33333E+02    0.33333E+02    0
   39   44        31   36       -0.45153          874.92161      862.84781         0.33331E+02    0.32494E+02    1
   40   45        31   36       -0.63902          936.63040      915.97507         0.33329E+02    0.28656E+02    1
   41   46        31   36       -0.59844          981.05122      959.89813         0.33324E+02    0.27455E+02    1
   42   47        31   36       -0.38565          994.67477      980.94610         0.33315E+02    0.27748E+02    1
   43   48        31   36       -0.55818         1040.70198     1018.82284         0.33302E+02    0.26270E+02    1
   44   49        31   36       -0.46542         1059.57339     1041.01719         0.33282E+02    0.26342E+02    1
   45   50        31   36       -0.51024         1074.19362     1053.50464         0.33252E+02    0.26236E+02    1
   46   51        31   36       -0.50504         1088.73006     1068.07021         0.33209E+02    0.26361E+02    1
   47   52        31   36       -0.49489         1115.40185     1094.88265         0.33154E+02    0.26654E+02    1
   48   53        31   36       -0.58973         1135.01367     1110.21305         0.33079E+02    0.26694E+02    1
   49   54        31   36       -0.45013         1112.97049     1095.37017         0.32955E+02    0.28238E+02    1
   50   55        31   36       -0.56884         1126.48556     1104.13953         0.32817E+02    0.28390E+02    1
   51   56        31   36       -0.59301         1129.62214     1106.90837         0.32631E+02    0.29195E+02    1
   52   57        31   36       -0.49426         1110.82680     1093.15303         0.32360E+02    0.30817E+02    1
   53   58        31   36       -0.49652         1096.82923     1079.95282         0.32021E+02    0.32021E+02    0
   54   59        31   36       -0.42565         1084.19683     1069.69014         0.31598E+02    0.31598E+02    0
   55   60        31   36       -0.31162         1054.56653     1044.02335         0.31014E+02    0.31014E+02    0
   56   61        31   36       -0.33062         1037.38392     1026.14389         0.30349E+02    0.30349E+02    0
   57   62        31   36       -0.24479         1020.40356     1011.98861         0.29560E+02    0.29560E+02    0
   58   63        31   36       -0.25967         1004.94188      995.87644         0.28656E+02    0.28656E+02    0
   59   64        31   36       -0.24122          998.02972      989.37805         0.27706E+02    0.27706E+02    0
   60   65        31   36       -0.10116          996.54811      992.78218         0.26718E+02    0.26718E+02    0
   61   66        31   36       -0.02175         1006.01510     1005.16667         0.25779E+02    0.25779E+02    0
   62   67        31   36        0.16895          992.75339      999.60835         0.24553E+02    0.24553E+02    0
   63   68        31   36        0.31601          997.70592     1011.21751         0.23492E+02    0.23492E+02    0
   64   69        31   36        0.41655         1005.69387     1024.52157         0.22458E+02    0.22458E+02    0
   65   70        31   36        0.62476         1007.26913     1037.18542         0.21346E+02    0.21346E+02    0
   66   71        31   36        0.86118          988.28086     1032.31428         0.19983E+02    0.19756E+02    1
   67   72        31   36        0.87506          999.62636     1050.72169         0.19031E+02    0.17554E+02    1
   68   73        31   36        0.93916         1000.12040     1062.28024         0.17972E+02    0.15575E+02    1
   69   74        31   36        0.91935          977.36480     1042.42745         0.16658E+02    0.14265E+02    1
   70   75        31   36        0.98109          922.92063      996.70939         0.14991E+02    0.12755E+02    1
   71   76        31   36        0.95592          886.51449      960.44264         0.13626E+02    0.11935E+02    1
   72   77        31   36        0.87261          852.19968      919.79769         0.12367E+02    0.11432E+02    1
   73   78        31   36        0.94349          781.19293      856.21075         0.10743E+02    0.10290E+02    1
   74   79        31   36        0.89160          766.66932      838.89612         0.99032E+01    0.99032E+01    0
   75   80        31   36        0.85216          747.00367      820.58527         0.90705E+01    0.90705E+01    0
   76   81        31   36        0.81816          728.35476      803.66286         0.83153E+01    0.83153E+01    0
   77   82        31   36        0.83554          697.50360      779.73641         0.74971E+01    0.74971E+01    0
   78   83        31   36        0.85979          670.93673      761.51038         0.67898E+01    0.67898E+01    0
   79   84        31   36        0.87781          651.49861      750.44167         0.62085E+01    0.62085E+01    0
   80   85        31   36        0.87255          642.55763      747.50416         0.57676E+01    0.57676E+01    0
   81   86        31   36        0.86320          640.60304      751.21171         0.54195E+01    0.54195E+01    0
   82   87        31   36        0.88428          642.89528      763.82988         0.51304E+01    0.51304E+01    0
   83   88        31   36        0.82511          658.53377      777.72527         0.49599E+01    0.49599E+01    0
   84   89        31   36        0.76551          648.74459      765.65596         0.46200E+01    0.46200E+01    0
   85   90        31   36        0.72243          623.81172      740.71422         0.42059E+01    0.42059E+01    0
   86   91        31   36        0.64832          607.72374      718.20391         0.38814E+01    0.38814E+01    0
   87   92        31   36        0.66228          568.59992      689.14684         0.34444E+01    0.34444E+01    0
   88   93        31   36        0.61564          529.79982      648.46194         0.30461E+01    0.30461E+01    0
   89   94        31   36        0.60614          487.33510      611.97942         0.26615E+01    0.26615E+01    0
   90   95        31   36        0.57747          457.20636      583.16824         0.23731E+01    0.23731E+01    0
   91   96        31   36        0.55629          418.47580      547.78191         0.20660E+01    0.20660E+01    0
   38   43        32   37        3.30975          626.41047      713.07674         0.33333E+02    0.25542E+02    1
   39   44        32   37        0.37196          795.49127      804.41782         0.33333E+02    0.33333E+02    0
   40   45        32   37       -0.85017          899.49244      874.24952         0.33331E+02    0.29868E+02    1
   41   46        32   37       -0.96861          967.25819      933.04773         0.33329E+02    0.26899E+02    1
   42   47        32   37       -0.76464          993.74723      965.76657         0.33324E+02    0.26772E+02    1
   43   48        32   37       -0.90323         1051.40457     1014.42973         0.33317E+02    0.25230E+02    1
   44   49        32   37       -0.74264         1076.41056     1045.42026         0.33304E+02    0.25421E+02    1
   45   50        32   37       -0.74783         1097.78337     1065.84576         0.33286E+02    0.25329E+02    1
   46   51        32   37       -0.71335         1118.79719     1087.85802         0.33258E+02    0.25437E+02    1
   47   52        32   37       -0.66952         1151.49452     1121.93076         0.33222E+02    0.25741E+02    1
   48   53        32   37       -0.74666         1177.56070     1143.89284         0.33172E+02    0.25740E+02    1
   49   54        32   37       -0.60193         1159.27644     1133.81199         0.33089E+02    0.27101E+02    1
   50   55        32   37       -0.70983         1178.14703     1147.77733         0.32995E+02    0.27180E+02    1
   51   56        32   37       -0.71320         1185.12226     1155.25067         0.32866E+02    0.27937E+02    1
   52   57        32   37       -0.61774         1169.21231     1144.82079         0.32676E+02    0.29302E+02    1
   53   58        32   37       -0.62767         1158.09471     1134.48911         0.32435E+02    0.30479E+02    1
   54   59        32   37       -0.58763         1148.03561     1126.97279         0.32129E+02    0.31734E+02    1
   55   60        32   37       -0.49445         1119.97124     1102.63734         0.31700E+02    0.31700E+02    0
   56   61        32   37       -0.51914         1104.41213     1086.18715         0.31199E+02    0.31199E+02    0
   57   62        32   37       -0.43723         1088.76931     1073.31835         0.30591E+02    0.30591E+02    0
   58   63        32   37       -0.46285         1074.62693     1058.10675         0.29876E+02    0.29876E+02    0
   59   64        32   37       -0.45495         1069.54377     1052.95511         0.29104E+02    0.29104E+02    0
   60   65        32   37       -0.32242         1070.27972     1058.14740         0.28282E+02    0.28282E+02    0
   61   66        32   37       -0.24683         1082.54899     1072.86813         0.27478E+02    0.27478E+02    0
   62   67        32   37       -0.04993         1070.42707     1068.40506         0.26406E+02    0.26406E+02    0
   63   68        32   37        0.10933         1077.53942     1082.17848         0.25449E+02    0.25449E+02    0
   64   69        32   37        0.22574         1087.68153     1097.75372         0.24490E+02    0.24490E+02    0
   65   70        32   37        0.45500         1091.06628     1112.45114         0.23441E+02    0.23441E+02    0
   66   71        32   37        0.73766         1071.89465     1108.23815         0.22123E+02    0.22123E+02    0
   67   72        32   37        0.77724         1085.36012     1128.97342         0.21176E+02    0.19729E+02    1
   68   73        32   37        0.86527         1086.54200     1142.12820         0.20100E+02    0.17342E+02    1
   69   74        32   37        0.85936         1062.24499     1121.51534         0.18743E+02    0.15827E+02    1
