    0.33872E+02   -0.59455E+01    0.80484E+01    0.90571E+00    0.70418E+00
    0.11820E+03   -0.19498E+01    0.12576E+02    0.10995E+01    0.17636E+01
    0.25174E+01   -0.22771E+02    0.46910E-01   -0.13287E+01   -0.34760E+01
    0.60828E+00   -0.88280E+01    0.11260E+01    0.51548E-01   -0.18723E+01
    0.28178E+02   -0.11849E+01    0.17207E+02    0.12357E+01    0.22152E+01
    0.49281E+02   -0.84814E+01    0.16520E+02    0.12180E+01    0.38697E+00
    0.42255E+02   -0.11963E+01    0.39225E+02    0.15936E+01    0.22740E+01
    0.55606E+02   -0.10763E+01    0.40437E+02    0.16068E+01    0.23818E+01
    0.80946E+02   -0.19616E+01    0.26894E+02    0.14297E+01    0.18867E+01
    0.73911E+02   -0.15323E+02    0.29954E+01    0.47645E+00   -0.59775E+00
    0.81447E+02   -0.15694E+02    0.71298E+01    0.85308E+00   -0.47177E+00
    0.19762E+02   -0.85875E+00    0.16201E+02    0.12095E+01    0.23499E+01
    0.12304E+03   -0.98239E+00    0.22554E+02    0.13532E+01    0.22954E+01
    0.12444E+03   -0.14686E+02    0.33262E+01    0.52195E+00   -0.78516E+00
    0.40678E+01   -0.71556E+01    0.51736E+01    0.71380E+00   -0.42811E+00
    0.78872E+01   -0.27456E+00    0.85017E+02    0.19295E+01    0.29499E+01
    0.91665E+02   -0.19963E+01    0.14965E+02    0.11751E+01    0.19107E+01
    0.80033E+02   -0.25074E+02    0.12747E+01    0.10541E+00   -0.19091E+01
    0.82782E+02   -0.14795E+02    0.42732E+01    0.63075E+00   -0.53148E+00
    0.13292E+03   -0.61820E+01    0.98093E+01    0.99164E+00    0.42735E+00
    0.36565E+02   -0.20633E+02    0.20874E+01    0.31960E+00   -0.13418E+01
    0.66379E+02   -0.25133E+01    0.19711E+02    0.12947E+01    0.16637E+01
    0.55372E+02   -0.67881E+01    0.66358E+01    0.82190E+00    0.56875E+00
    0.13649E+03   -0.39585E+01    0.12540E+02    0.10983E+01    0.66412E+00
