3152
473	71	76	11	16	-0.008637391606140937
474	72	77	11	16	-0.007946784473454493
475	73	78	11	16	-0.006962964961107447
476	74	79	11	16	-0.006573963827355721
477	75	80	11	16	-0.0062145713182702855
478	76	81	11	16	-0.005834349181506099
479	77	82	11	16	-0.005418011053763707
480	78	83	11	16	-0.00501098278186316
481	79	84	11	16	-0.004732509582446273
482	80	85	11	16	-0.004529482186594101
483	81	86	11	16	-0.004370525949735904
484	82	87	11	16	-0.004262596718117687
485	85	90	11	16	-0.0037797520604457967
486	86	91	11	16	-0.0036057354804936224
487	87	92	11	16	-0.0033342592766581205
488	91	96	11	16	-0.002309120309103353
489	18	23	12	17	-92.0472450272274
490	19	24	12	17	-50.38941467481812
491	20	25	12	17	-29.734549768008872
492	21	26	12	17	-18.325963655965573
493	22	27	12	17	-12.275095197403974
494	23	28	12	17	-8.928669510155249
495	24	29	12	17	-6.711393218041794
496	25	30	12	17	-5.058867821912491
497	26	31	12	17	-3.9217331053803246
498	27	32	12	17	-3.059167515113845
499	28	33	12	17	-2.3963049190738674
500	29	34	12	17	-1.8911458594104613
501	30	35	12	17	-1.5142074050398797
502	31	36	12	17	-1.2164886500766556
503	32	37	12	17	-1.0198197788627477
504	33	38	12	17	-0.8516921973453171
505	34	39	12	17	-0.7279217028236145
506	35	40	12	17	-0.6227971928246464
507	36	41	12	17	-0.5292607015134496
508	37	42	12	17	-0.4325512582920032
509	38	43	12	17	-0.35933319362399985
510	39	44	12	17	-0.2981965659317747
511	40	45	12	17	-0.2528822720986436
512	41	46	12	17	-0.21534794347914657
513	42	47	12	17	-0.18199794352654608
514	43	48	12	17	-0.15880591428001567
515	44	49	12	17	-0.1378564258431183
516	45	50	12	17	-0.11958941159819826
517	46	51	12	17	-0.10422817990727468
518	47	52	12	17	-0.092938655724248
519	48	53	12	17	-0.08285932163022933
520	49	54	12	17	-0.07100311331219142
521	50	55	12	17	-0.06360263456217656
522	51	56	12	17	-0.05678262390238742
523	52	57	12	17	-0.049629790347947025
524	54	59	12	17	-0.03963326186192849
525	55	60	12	17	-0.03503637991850504
526	56	61	12	17	-0.031434938832856356
527	57	62	12	17	-0.02833454751374781
