,X,Y,Vel,Cov, 
261,43.9157,799.318,1188.28,0,
262,25.695,799.666,1082.52,1,
263,25.8893,799.73,1064.19,1,
264,27.6845,799.846,966.865,1,
265,27.88,799.893,957.077,1,
266,30.3016,799.805,1088.19,1,
267,30.1228,799.853,1079.21,1,
268,32.283,799.544,1121.2,1,
269,32.1118,799.612,1109.84,1,
270,11.6686,799.61,1850.2,1,
271,11.8596,799.642,1968.66,1,
272,7.67871,799.672,677.233,1,
273,7.7941,799.754,686.426,1,
274,1.66886,799.8,671.167,1,
275,1.86263,799.829,673.155,1,
276,3.56397,799.819,611.298,1,
277,3.93042,799.616,629.84,1,
278,35.7064,799.154,1658.52,1,
279,35.8842,799.208,1691.33,1,
280,41.487,798.849,2314.36,1,
281,42.056,798.913,2172.42,1,
282,23.7343,799.252,1300.59,1,
283,22.3301,799.476,1596.0,1,
284,41.9975,799.099,2241.34,1,
285,34.1226,799.223,1329.18,1,
286,26.0506,799.377,1077.14,1,
287,43.0222,799.159,1594.19,1,
288,38.3655,798.845,2186.91,1,
289,33.8156,799.22,1280.08,1,
290,33.9267,798.732,1355.37,1,
291,41.3385,799.117,2282.6,1,
292,23.6727,799.388,1291.3,1,
293,42.054,799.145,2159.98,1,
294,34.317,799.177,1364.58,1,
295,34.4322,799.231,1389.82,1,
296,23.2242,799.446,1383.86,1,
297,23.7868,799.471,1265.38,1,
298,-3.89936,799.855,595.587,1,
299,-0.549497,799.537,738.851,1,
300,43.5539,799.366,1379.32,1,
301,29.8153,799.673,1058.79,1,
302,44.9834,799.271,851.29,1,
303,12.3157,799.657,2346.05,1,
304,36.3249,799.22,1766.11,1,
305,19.6767,799.527,2536.95,1,
306,39.8631,799.13,2280.67,1,
307,24.082,799.162,1248.13,1,
308,26.1095,799.525,1064.54,1,
309,10.0337,799.403,1156.47,1,
310,10.9024,798.712,1564.45,1,
311,0.329063,799.884,704.245,1,
312,7.70695,799.523,686.903,1,
313,15.6705,799.603,3231.04,1,
314,4.98562,799.653,585.885,1,
315,17.6769,799.562,3262.3,1,
316,9.19663,799.265,973.519,1,
317,31.6667,799.69,1106.73,1,
318,33.6642,799.319,1258.28,1,
319,34.6906,797.699,1716.94,1,
320,27.8938,799.791,964.154,1,
321,19.0361,799.351,2770.66,1,
322,22.0464,799.163,1739.13,1,
323,-0.998733,799.647,698.665,1,
324,28.0141,799.546,986.384,1,
325,29.6787,799.888,1029.63,1,
326,44.0022,799.079,1153.49,1,
327,45.6669,799.462,776.339,1,
328,12.0093,799.37,2153.41,1,
329,13.6708,799.63,2829.71,1,
330,36.0718,798.967,1765.33,1,
331,37.6773,799.187,2042.95,1,
332,18.5888,799.423,2914.27,1,
333,42.2911,798.636,2014.06,1,
334,38.041,798.699,2183.12,1,
335,25.6572,799.409,1094.39,1,
336,24.4757,799.209,1204.32,1,
337,27.4305,799.774,982.139,1,
338,26.548,799.676,1026.79,1,
339,11.4002,799.555,1683.09,1,
340,10.4011,799.384,1263.68,1,
341,6.16986,799.701,528.463,1,
342,12.1312,798.619,2266.13,1,
343,0.0752764,799.562,786.84,1,
344,1.71774,799.663,683.52,0,
345,4.01489,799.696,622.991,1,
346,7.40101,799.634,644.876,1,
