,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,13.00,20.00,8.00,15.00,1059.15,0.13,0.00,183.94,-395.221,12.788
,Mixed / non conventional,13.00,20.00,15.00,22.00,9446.95,0.05,0.00,-37.00,9370.806,9.047
,Mixed / non conventional,13.00,20.00,22.00,29.00,12457.11,0.06,0.00,-84.60,-6103.618,9.047
,Mixed / non conventional,13.00,20.00,29.00,36.00,36088.18,0.03,0.00,127.71,-1537.578,9.047
,Mixed / non conventional,13.00,20.00,36.00,43.00,55730.74,0.06,0.00,88.39,-712.341,9.047
,Mixed / non conventional,13.00,20.00,43.00,50.00,42019.26,0.06,0.00,-100.19,-232.252,9.047
,Mixed / non conventional,13.00,20.00,50.00,57.00,63458.48,0.06,0.00,-41.79,-183.348,9.047
,Mixed / non conventional,13.00,20.00,57.00,64.00,29509.01,0.04,0.00,10.82,-50.152,9.047
,Mixed / non conventional,13.00,20.00,64.00,71.00,4460.84,0.06,0.00,1.95,-7.405,13.852
,Mixed / non conventional,13.00,20.00,71.00,6.00,1841.82,0.04,0.00,-197.67,-299.640,13.852
,Mixed / non conventional,14.00,21.00,28.00,35.00,30737.51,0.24,0.00,122.69,-2748.962,11.800
,Mixed / non conventional,14.00,21.00,35.00,42.00,52105.11,0.24,0.00,-13.51,-1164.985,11.800
,Mixed / non conventional,14.00,21.00,42.00,49.00,39939.46,0.23,0.00,-14.19,-357.192,11.800
,Mixed / non conventional,14.00,21.00,49.00,56.00,63280.62,0.24,0.00,3.47,-282.970,11.800
,Mixed / non conventional,14.00,21.00,56.00,63.00,28340.90,0.26,0.00,10.45,-72.418,11.800
,Mixed / non conventional,14.00,21.00,63.00,70.00,14383.82,0.22,0.00,-3.40,-22.971,11.800
,Mixed / non conventional,14.00,21.00,70.00,5.00,1640.07,0.24,0.00,-201.10,-157.590,11.800
,Mixed / non conventional,14.00,21.00,5.00,12.00,7219.48,0.18,0.00,-23.23,-4613.803,11.800
,Mixed / non conventional,14.00,21.00,12.00,19.00,9909.75,0.32,0.00,378.34,6890.494,6.342
,Mixed / non conventional,14.00,21.00,19.00,26.00,1894.39,2.00,0.00,-139.17,-350.550,6.342
,Mixed / non conventional,14.00,21.00,26.00,33.00,30966.78,0.12,0.00,43.96,-2686.925,6.342
,Mixed / non conventional,14.00,21.00,33.00,40.00,44142.73,0.15,0.00,37.38,-736.572,6.342
,Mixed / non conventional,14.00,21.00,40.00,47.00,52856.66,0.10,0.00,52.51,-320.718,6.342
,Mixed / non conventional,14.00,21.00,47.00,54.00,56858.54,0.25,0.00,-63.81,-163.875,6.342
,Mixed / non conventional,14.00,21.00,54.00,61.00,31888.56,0.03,0.00,-11.49,-50.843,6.342
,Mixed / non conventional,14.00,21.00,61.00,68.00,21455.06,0.04,0.00,3.13,-38.900,11.801
,Mixed / non conventional,14.00,21.00,68.00,3.00,1670.49,0.15,0.00,-170.74,-119.577,11.801
,Mixed / non conventional,14.00,21.00,3.00,10.00,4570.14,0.27,0.00,-129.00,-1062.126,11.801
,Mixed / non conventional,14.00,21.00,10.00,17.00,13899.07,0.63,0.00,378.62,1977.688,11.801
,Mixed / non conventional,14.00,21.00,17.00,24.00,13379.77,0.14,0.00,-238.54,7957.872,11.801
,Mixed / non conventional,14.00,21.00,24.00,31.00,-23248.88,16.02,0.00,-2374.73,8498.079,11.952
,Mixed / non conventional,14.00,21.00,31.00,38.00,302460.91,8.34,0.00,1204.94,-13819.680,11.952
,Mixed / non conventional,14.00,21.00,38.00,45.00,14333.77,29.28,0.00,-211.25,-211.265,11.952
,Mixed / non conventional,14.00,21.00,45.00,52.00,9228.34,41.81,0.00,-61.15,-60.849,11.952
,Mixed / non conventional,14.00,21.00,52.00,59.00,10714.56,45.87,0.00,-37.76,-37.680,11.952
,Mixed / non conventional,14.00,21.00,59.00,66.00,9848.25,32.19,0.00,-20.93,-20.647,11.952
,Mixed / non conventional,14.00,21.00,66.00,1.00,864.74,61.74,0.00,-49.29,-49.208,11.952
,Mixed / non conventional,14.00,21.00,1.00,8.00,160.55,58.25,0.00,-19.34,-19.185,11.952
,Mixed / non conventional,14.00,21.00,8.00,15.00,480.36,92.39,0.00,-680.24,-679.453,11.952
,Mixed / non conventional,14.00,21.00,15.00,22.00,24111.51,1.14,0.00,428.23,12052.099,1.838
,Mixed / non conventional,14.00,21.00,22.00,29.00,43825.54,1.17,0.00,-536.39,-10472.196,1.838
,Mixed / non conventional,14.00,21.00,29.00,36.00,32031.46,0.91,0.00,126.56,-347.908,1.838
,Mixed / non conventional,14.00,21.00,36.00,43.00,51330.97,0.97,0.00,86.34,-153.801,1.838
,Mixed / non conventional,14.00,21.00,43.00,50.00,40058.20,0.94,0.00,-100.59,-50.010,1.838
,Mixed / non conventional,14.00,21.00,50.00,57.00,61650.47,0.07,0.00,-41.26,-257.905,12.041
,Mixed / non conventional,14.00,21.00,57.00,64.00,30426.73,0.03,0.00,10.46,-73.825,12.041
,Mixed / non conventional,14.00,21.00,64.00,71.00,4232.56,0.24,0.00,0.83,-6.486,12.041
,Mixed / non conventional,14.00,21.00,71.00,6.00,1979.85,0.05,0.00,-194.26,-230.635,12.041
,Mixed / non conventional,14.00,21.00,6.00,13.00,7990.19,0.00,0.00,-183.85,-12504.534,12.041
,Mixed / non conventional,14.00,21.00,13.00,20.00,8114.50,0.22,0.00,620.73,4331.604,1.963
,Mixed / non conventional,14.00,21.00,20.00,27.00,5484.63,0.20,0.00,-217.64,-1274.369,1.963
,Mixed / non conventional,14.00,21.00,27.00,34.00,33004.76,0.23,0.00,-14.59,-647.877,1.963
,Mixed / non conventional,14.00,21.00,34.00,41.00,50389.73,0.23,0.00,76.38,-219.809,1.963
,Mixed / non conventional,14.00,21.00,41.00,48.00,46930.39,0.24,0.00,-3.40,-78.275,1.963
,Mixed / non conventional,14.00,21.00,48.00,55.00,61291.74,0.21,0.00,-69.59,-49.867,1.963
,Mixed / non conventional,14.00,21.00,55.00,62.00,28756.79,0.33,0.00,6.28,-79.552,11.868
,Mixed / non conventional,14.00,21.00,62.00,69.00,15447.82,0.14,0.00,-15.47,-26.418,11.868
,Mixed / non conventional,14.00,21.00,69.00,4.00,1681.11,0.13,0.00,174.93,-139.167,11.868
,Mixed / non conventional,14.00,21.00,4.00,11.00,8528.32,0.14,0.00,-548.92,-3095.336,11.868
,Mixed / non conventional,14.00,21.00,11.00,18.00,12454.61,0.33,0.00,442.29,7449.393,11.868
,Mixed / non conventional,14.00,21.00,18.00,25.00,27878.46,0.37,0.00,-258.07,3982.875,11.849
,Mixed / non conventional,14.00,21.00,25.00,32.00,22913.33,0.28,0.00,163.44,-5346.762,11.849
,Mixed / non conventional,14.00,21.00,32.00,39.00,44465.70,0.24,0.00,97.21,-1660.152,11.849
,Mixed / non conventional,14.00,21.00,39.00,46.00,55963.96,0.23,0.00,-26.55,-718.247,11.849
,Mixed / non conventional,14.00,21.00,46.00,53.00,50449.70,0.18,0.00,-24.93,-298.835,11.849
,Mixed / non conventional,14.00,21.00,53.00,60.00,39811.51,0.27,0.00,-2.01,-128.163,11.849
,Mixed / non conventional,14.00,21.00,60.00,67.00,22749.65,0.23,0.00,4.58,-44.219,11.849
,Mixed / non conventional,14.00,21.00,67.00,2.00,1670.39,0.09,0.00,113.93,-105.757,11.849
,Mixed / non conventional,14.00,21.00,2.00,9.00,2015.87,0.14,0.00,17.72,-326.803,11.849
,Mixed / non conventional,14.00,21.00,9.00,16.00,6678.78,0.30,0.00,48.69,-2309.089,11.849
,Mixed / non conventional,14.00,21.00,16.00,23.00,11093.31,0.13,0.00,-104.21,3449.390,2.836
,Mixed / non conventional,14.00,21.00,23.00,30.00,12691.26,0.13,0.00,-36.50,-1949.262,2.836
,Mixed / non conventional,14.00,21.00,30.00,37.00,38778.59,0.13,0.00,68.77,-517.917,2.836
,Mixed / non conventional,14.00,21.00,37.00,44.00,50190.44,0.14,0.00,29.70,-201.099,2.836
,Mixed / non conventional,14.00,21.00,44.00,51.00,39823.54,0.12,0.00,-42.83,-69.000,2.836
,Mixed / non conventional,14.00,21.00,51.00,58.00,55136.88,0.11,0.00,-16.06,-49.937,2.836
,Mixed / non conventional,14.00,21.00,58.00,65.00,24411.12,0.37,0.00,19.05,-55.195,12.036
,Mixed / non conventional,14.00,21.00,65.00,72.00,7968.37,2.13,0.00,-12.58,-11.493,12.036
,Mixed / non conventional,14.00,21.00,72.00,7.00,1817.12,0.09,0.00,-223.76,-256.872,12.036
,Mixed / non conventional,15.00,22.00,29.00,36.00,24278.20,0.05,0.00,129.76,-1223.384,6.649
,Mixed / non conventional,15.00,22.00,36.00,43.00,41481.91,0.12,0.00,89.57,-522.571,6.649
,Mixed / non conventional,15.00,22.00,43.00,50.00,33354.77,0.05,0.00,-100.40,-168.075,6.649
,Mixed / non conventional,15.00,22.00,50.00,57.00,52147.42,0.10,0.00,-41.59,-131.386,6.649
,Mixed / non conventional,15.00,22.00,57.00,64.00,24556.97,0.06,0.00,11.36,-35.355,6.649
,Mixed / non conventional,15.00,22.00,64.00,71.00,3679.27,0.27,0.00,-0.06,-3.311,6.649
,Mixed / non conventional,15.00,22.00,71.00,6.00,1743.21,0.09,0.00,-190.69,-94.377,6.649
,Mixed / non conventional,15.00,22.00,6.00,13.00,7285.35,0.11,0.00,-123.71,-2623.309,6.649
,Mixed / non conventional,15.00,22.00,13.00,20.00,9735.62,0.12,0.00,504.73,7097.059,6.649
,Mixed / non conventional,15.00,22.00,20.00,27.00,5007.69,0.19,0.00,-172.63,-971.502,6.649
,Mixed / non conventional,15.00,22.00,27.00,34.00,24602.42,0.05,0.00,-10.30,-2226.951,6.616
,Mixed / non conventional,15.00,22.00,34.00,41.00,40754.91,0.09,0.00,78.74,-709.430,6.616
,Mixed / non conventional,15.00,22.00,41.00,48.00,38961.70,0.11,0.00,-2.93,-246.624,6.616
,Mixed / non conventional,15.00,22.00,48.00,55.00,51990.44,0.15,0.00,-69.72,-156.320,6.616
,Mixed / non conventional,15.00,22.00,55.00,62.00,24427.77,0.08,0.00,4.43,-40.630,6.616
,Mixed / non conventional,15.00,22.00,62.00,69.00,12771.91,0.09,0.00,-14.71,-12.982,6.616
,Mixed / non conventional,15.00,22.00,69.00,4.00,1519.08,0.13,0.00,171.83,-60.961,6.616
,Mixed / non conventional,15.00,22.00,4.00,11.00,7013.50,0.05,0.00,-571.56,-913.793,6.616
,Mixed / non conventional,15.00,22.00,11.00,18.00,4102.55,0.27,0.00,488.61,327.259,6.616
,Mixed / non conventional,15.00,22.00,18.00,25.00,15709.33,0.05,0.00,-123.73,5238.074,6.616
,Mixed / non conventional,15.00,22.00,25.00,32.00,15362.84,0.11,0.00,49.41,-3091.478,6.580
,Mixed / non conventional,15.00,22.00,32.00,39.00,34862.64,0.07,0.00,64.05,-876.930,6.580
,Mixed / non conventional,15.00,22.00,39.00,46.00,45024.44,0.09,0.00,-41.88,-365.335,6.580
,Mixed / non conventional,15.00,22.00,46.00,53.00,42071.37,0.11,0.00,-31.37,-152.720,6.580
,Mixed / non conventional,15.00,22.00,53.00,60.00,33414.72,0.13,0.00,-5.09,-64.691,6.580
,Mixed / non conventional,15.00,22.00,60.00,67.00,19217.04,0.06,0.00,3.26,-22.179,6.580
,Mixed / non conventional,15.00,22.00,67.00,2.00,1515.35,0.18,0.00,113.54,-47.472,6.580
,Mixed / non conventional,15.00,22.00,2.00,9.00,1799.68,0.07,0.00,11.20,-118.395,6.580
,Mixed / non conventional,15.00,22.00,9.00,16.00,8591.59,0.07,0.00,2.24,-6690.297,6.580
,Mixed / non conventional,15.00,22.00,16.00,23.00,8116.21,0.00,0.00,-115.00,6931.139,3.141
,Mixed / non conventional,15.00,22.00,23.00,30.00,6783.05,0.03,0.00,-32.89,-2769.163,3.141
,Mixed / non conventional,15.00,22.00,30.00,37.00,30135.59,0.00,0.00,69.29,-559.218,3.141
,Mixed / non conventional,15.00,22.00,37.00,44.00,40345.86,0.03,0.00,30.55,-206.534,3.141
,Mixed / non conventional,15.00,22.00,44.00,51.00,33266.07,0.05,0.00,-42.73,-70.955,3.141
,Mixed / non conventional,15.00,22.00,51.00,58.00,46771.56,0.03,0.00,-16.76,-51.041,3.141
,Mixed / non conventional,15.00,22.00,58.00,65.00,-3776175.50,0.36,0.00,-0.02,5000.775,6.572
,Mixed / non conventional,15.00,22.00,65.00,72.00,5978891.50,0.36,0.00,-0.01,-5000.737,6.572
,Mixed / non conventional,15.00,22.00,72.00,7.00,1731.29,0.19,0.00,-215.09,-110.077,6.572
,Mixed / non conventional,15.00,22.00,7.00,14.00,5477.82,0.04,0.00,48.89,-4678.994,6.572
,Mixed / non conventional,15.00,22.00,14.00,21.00,21651.86,0.59,0.00,-40.15,13647.407,2.318
,Mixed / non conventional,15.00,22.00,21.00,28.00,40518.80,0.55,0.00,183.98,-11116.609,2.318
,Mixed / non conventional,15.00,22.00,28.00,35.00,23007.45,0.71,0.00,74.81,-533.276,2.318
,Mixed / non conventional,15.00,22.00,35.00,42.00,41007.91,0.86,0.00,-28.19,-211.222,2.318
,Mixed / non conventional,15.00,22.00,42.00,49.00,32502.46,0.59,0.00,-19.78,-64.011,2.318
,Mixed / non conventional,15.00,22.00,49.00,56.00,52470.70,1.03,0.00,-2.22,-50.408,2.318
,Mixed / non conventional,15.00,22.00,56.00,63.00,23621.82,0.04,0.00,9.64,-36.064,6.550
,Mixed / non conventional,15.00,22.00,63.00,70.00,12710.27,0.10,0.00,-6.00,-11.996,6.550
,Mixed / non conventional,15.00,22.00,70.00,5.00,1425.99,0.21,0.00,-194.13,-65.149,6.550
,Mixed / non conventional,15.00,22.00,5.00,12.00,6238.88,0.06,0.00,-5.28,-1249.688,6.550
,Mixed / non conventional,15.00,22.00,12.00,19.00,8993.46,0.09,0.00,263.94,2968.710,6.550
,Mixed / non conventional,15.00,22.00,19.00,26.00,30959.17,0.12,0.00,-100.85,2444.860,6.550
,Mixed / non conventional,15.00,22.00,26.00,33.00,22083.10,0.05,0.00,44.81,-2848.391,6.550
,Mixed / non conventional,15.00,22.00,33.00,40.00,34917.64,0.07,0.00,38.48,-720.617,6.550
,Mixed / non conventional,15.00,22.00,40.00,47.00,42975.65,0.07,0.00,52.45,-304.877,6.550
,Mixed / non conventional,15.00,22.00,47.00,54.00,47612.40,0.06,0.00,-65.47,-155.894,6.550
,Mixed / non conventional,15.00,22.00,54.00,61.00,26589.07,0.12,0.00,-10.05,-47.291,6.546
,Mixed / non conventional,15.00,22.00,61.00,68.00,18803.56,0.25,0.00,1.96,-20.192,6.546
,Mixed / non conventional,15.00,22.00,68.00,3.00,1486.14,0.13,0.00,-162.23,-51.984,6.546
,Mixed / non conventional,15.00,22.00,3.00,10.00,3650.75,0.04,0.00,-112.60,-326.980,6.546
,Mixed / non conventional,15.00,22.00,10.00,17.00,14247.29,0.00,0.00,336.08,-2721.397,6.546
,Mixed / non conventional,15.00,22.00,17.00,24.00,11181.00,0.03,0.00,-104.23,8025.053,6.546
,Mixed / non conventional,15.00,22.00,24.00,31.00,9246.92,0.22,0.00,5.63,-3265.580,6.521
,Mixed / non conventional,15.00,22.00,31.00,38.00,32050.48,0.19,0.00,48.15,-984.237,6.521
,Mixed / non conventional,15.00,22.00,38.00,45.00,43778.00,0.20,0.00,-18.67,-403.313,6.521
,Mixed / non conventional,15.00,22.00,45.00,52.00,38131.03,0.19,0.00,-0.53,-151.909,6.521
,Mixed / non conventional,15.00,22.00,52.00,59.00,40851.84,0.17,0.00,-21.32,-85.073,6.521
,Mixed / non conventional,15.00,22.00,59.00,66.00,19770.09,0.16,0.00,-2.70,-24.218,6.521
,Mixed / non conventional,15.00,22.00,66.00,1.00,1517.80,0.43,0.00,-229.07,-42.419,6.521
,Mixed / non conventional,15.00,22.00,1.00,8.00,1679.67,0.21,0.00,106.19,-83.011,6.521
,Mixed / non conventional,16.00,23.00,30.00,37.00,26224.62,0.03,0.00,67.31,-2986.667,15.027
,Mixed / non conventional,16.00,23.00,37.00,44.00,36283.73,0.05,0.00,30.00,-1033.069,15.027
,Mixed / non conventional,16.00,23.00,44.00,51.00,31511.19,0.05,0.00,-43.07,-358.874,15.027
,Mixed / non conventional,16.00,23.00,51.00,58.00,44998.56,0.05,0.00,-17.35,-256.240,15.027
,Mixed / non conventional,16.00,23.00,58.00,65.00,20653.83,0.08,0.00,18.46,-67.206,15.027
,Mixed / non conventional,16.00,23.00,65.00,72.00,5351.30,0.16,0.00,-11.56,-10.883,15.027
,Mixed / non conventional,16.00,23.00,72.00,7.00,1816.77,0.04,0.00,-210.30,-222.303,15.027
,Mixed / non conventional,16.00,23.00,7.00,14.00,9308.67,0.02,0.00,42.92,-7575.614,15.027
,Mixed / non conventional,16.00,23.00,14.00,21.00,11058.32,0.00,0.00,290.54,10361.935,8.546
,Mixed / non conventional,16.00,23.00,21.00,28.00,9335.74,0.05,0.00,-163.94,-2328.052,8.546
,Mixed / non conventional,16.00,23.00,28.00,35.00,19308.40,0.05,0.00,75.19,-2257.719,8.546
,Mixed / non conventional,16.00,23.00,35.00,42.00,37214.73,0.03,0.00,-28.96,-836.826,8.546
,Mixed / non conventional,16.00,23.00,42.00,49.00,30578.04,0.05,0.00,-19.87,-250.033,8.546
,Mixed / non conventional,16.00,23.00,49.00,56.00,50596.50,0.03,0.00,-2.18,-196.518,8.546
,Mixed / non conventional,16.00,23.00,56.00,63.00,23066.59,0.06,0.00,9.93,-49.561,8.546
,Mixed / non conventional,16.00,23.00,63.00,70.00,11894.53,0.03,0.00,-6.26,-27.451,15.022
,Mixed / non conventional,16.00,23.00,70.00,5.00,1512.92,0.10,0.00,-191.44,-137.851,15.022
,Mixed / non conventional,16.00,23.00,5.00,12.00,7832.41,0.00,0.00,3.92,-2317.035,15.022
,Mixed / non conventional,16.00,23.00,12.00,19.00,11981.36,0.04,0.00,260.86,2170.044,15.022
,Mixed / non conventional,16.00,23.00,19.00,26.00,11003.70,0.05,0.00,-244.25,8332.530,15.025
,Mixed / non conventional,16.00,23.00,26.00,33.00,10943.35,0.03,0.00,180.60,-5028.543,15.025
,Mixed / non conventional,16.00,23.00,33.00,40.00,31013.78,0.03,0.00,37.99,-1781.380,15.025
,Mixed / non conventional,16.00,23.00,40.00,47.00,39453.47,0.03,0.00,51.79,-731.013,15.025
,Mixed / non conventional,16.00,23.00,47.00,54.00,44869.17,0.06,0.00,-65.34,-371.924,15.025
,Mixed / non conventional,16.00,23.00,54.00,61.00,25759.28,0.03,0.00,-9.93,-113.877,15.025
,Mixed / non conventional,16.00,23.00,61.00,68.00,17775.94,0.04,0.00,2.43,-46.848,15.025
,Mixed / non conventional,16.00,23.00,68.00,3.00,1626.47,0.06,0.00,-158.37,-116.350,15.025
,Mixed / non conventional,16.00,23.00,3.00,10.00,4344.51,0.03,0.00,-108.62,-652.647,15.025
,Mixed / non conventional,16.00,23.00,10.00,17.00,7215.69,0.19,0.00,323.34,-3157.171,3.697
,Mixed / non conventional,16.00,23.00,17.00,24.00,6704.62,0.20,0.00,-94.42,6739.597,3.697
,Mixed / non conventional,16.00,23.00,24.00,31.00,4979.79,0.20,0.00,1.67,-2393.001,3.697
,Mixed / non conventional,16.00,23.00,31.00,38.00,27923.48,0.20,0.00,47.02,-609.928,3.697
,Mixed / non conventional,16.00,23.00,38.00,45.00,39249.14,0.20,0.00,-19.16,-236.500,3.697
,Mixed / non conventional,16.00,23.00,45.00,52.00,35746.74,0.21,0.00,-0.66,-89.748,3.697
,Mixed / non conventional,16.00,23.00,52.00,59.00,38912.27,0.19,0.00,-22.57,-49.984,3.697
,Mixed / non conventional,16.00,23.00,59.00,66.00,19363.97,0.63,0.00,-2.51,-45.733,11.720
,Mixed / non conventional,16.00,23.00,66.00,1.00,1637.98,0.32,0.00,-224.24,-74.757,11.720
,Mixed / non conventional,16.00,23.00,1.00,8.00,1967.08,0.06,0.00,107.44,-136.204,11.720
,Mixed / non conventional,16.00,23.00,8.00,15.00,8629.85,0.15,0.00,-142.19,-2729.002,2.433
,Mixed / non conventional,16.00,23.00,15.00,22.00,8129.51,0.14,0.00,508.86,5377.655,2.433
,Mixed / non conventional,16.00,23.00,22.00,29.00,6177.20,0.15,0.00,-333.80,-1778.611,2.433
,Mixed / non conventional,16.00,23.00,29.00,36.00,20520.89,0.15,0.00,128.24,-499.176,2.433
,Mixed / non conventional,16.00,23.00,36.00,43.00,37039.79,0.15,0.00,91.04,-200.223,2.433
,Mixed / non conventional,16.00,23.00,43.00,50.00,31092.96,0.13,0.00,-102.84,-64.265,2.433
,Mixed / non conventional,16.00,23.00,50.00,57.00,49560.62,0.17,0.00,-42.04,-49.968,2.433
,Mixed / non conventional,16.00,23.00,57.00,64.00,23574.04,0.05,0.00,12.49,-82.515,15.016
,Mixed / non conventional,16.00,23.00,64.00,71.00,3477.98,0.03,0.00,-2.01,-7.526,15.016
,Mixed / non conventional,16.00,23.00,71.00,6.00,1931.12,0.00,0.00,-176.73,-202.273,15.016
,Mixed / non conventional,16.00,23.00,6.00,13.00,9916.30,0.04,0.00,-50.36,-4553.896,15.016
,Mixed / non conventional,16.00,23.00,13.00,20.00,13190.87,0.03,0.00,383.36,9981.534,15.014
,Mixed / non conventional,16.00,23.00,20.00,27.00,19659.51,0.03,0.00,-139.48,3558.936,15.014
,Mixed / non conventional,16.00,23.00,27.00,34.00,20121.68,0.04,0.00,-10.43,-5949.583,15.014
,Mixed / non conventional,16.00,23.00,34.00,41.00,36841.82,0.05,0.00,79.17,-1742.944,15.014
,Mixed / non conventional,16.00,23.00,41.00,48.00,36258.88,0.08,0.00,-3.28,-589.657,15.014
,Mixed / non conventional,16.00,23.00,48.00,55.00,49261.05,0.10,0.00,-69.94,-369.740,15.014
,Mixed / non conventional,16.00,23.00,55.00,62.00,23526.03,0.07,0.00,2.24,-95.967,15.014
,Mixed / non conventional,16.00,23.00,62.00,69.00,12364.77,0.06,0.00,-13.11,-30.453,15.014
,Mixed / non conventional,16.00,23.00,69.00,4.00,1667.72,0.23,0.00,177.20,-49.910,5.601
,Mixed / non conventional,16.00,23.00,4.00,11.00,8352.81,0.18,0.00,-525.18,-640.077,5.601
,Mixed / non conventional,16.00,23.00,11.00,18.00,9686.78,0.20,0.00,428.72,-1583.069,5.601
,Mixed / non conventional,16.00,23.00,18.00,25.00,11202.77,0.20,0.00,-111.99,6879.443,5.601
,Mixed / non conventional,16.00,23.00,25.00,32.00,10759.61,0.20,0.00,48.73,-3263.690,5.601
,Mixed / non conventional,16.00,23.00,32.00,39.00,30866.12,0.03,0.00,63.53,-2074.880,14.274
,Mixed / non conventional,16.00,23.00,39.00,46.00,40960.69,0.04,0.00,-41.96,-826.037,14.274
,Mixed / non conventional,16.00,23.00,46.00,53.00,39910.31,0.05,0.00,-34.48,-348.045,14.274
,Mixed / non conventional,16.00,23.00,53.00,60.00,32218.19,0.03,0.00,-6.22,-146.868,14.274
,Mixed / non conventional,16.00,23.00,60.00,67.00,18524.51,0.05,0.00,4.61,-49.673,14.274
,Mixed / non conventional,16.00,23.00,67.00,2.00,1656.80,0.06,0.00,124.11,-101.360,14.274
,Mixed / non conventional,16.00,23.00,2.00,9.00,2121.78,0.03,0.00,12.39,-229.539,14.274
,Mixed / non conventional,17.00,24.00,31.00,38.00,27382.61,0.08,0.00,43.98,-2409.187,11.609
,Mixed / non conventional,17.00,24.00,38.00,45.00,38532.38,0.10,0.00,-20.48,-847.542,11.609
,Mixed / non conventional,17.00,24.00,45.00,52.00,36787.50,0.08,0.00,-1.20,-323.665,11.609
,Mixed / non conventional,17.00,24.00,52.00,59.00,40447.51,0.10,0.00,-21.91,-177.933,11.609
,Mixed / non conventional,17.00,24.00,59.00,66.00,20000.76,0.12,0.00,-1.79,-50.277,11.609
,Mixed / non conventional,17.00,24.00,66.00,1.00,1798.97,0.25,0.00,-223.12,-74.531,11.609
,Mixed / non conventional,17.00,24.00,1.00,8.00,2244.17,0.19,0.00,109.05,-122.689,11.609
,Mixed / non conventional,17.00,24.00,8.00,15.00,13638.50,0.05,0.00,-120.82,-8574.625,11.609
,Mixed / non conventional,17.00,24.00,15.00,22.00,11344.21,0.08,0.00,413.20,10158.775,8.168
,Mixed / non conventional,17.00,24.00,22.00,29.00,2159.73,0.22,0.00,-280.97,-514.705,8.168
,Mixed / non conventional,17.00,24.00,29.00,36.00,19714.85,0.08,0.00,128.33,-2203.091,8.168
,Mixed / non conventional,17.00,24.00,36.00,43.00,36644.97,0.09,0.00,91.49,-787.499,8.168
,Mixed / non conventional,17.00,24.00,43.00,50.00,31770.48,0.09,0.00,-103.25,-248.271,8.168
,Mixed / non conventional,17.00,24.00,50.00,57.00,51390.09,0.09,0.00,-41.76,-190.755,8.168
,Mixed / non conventional,17.00,24.00,57.00,64.00,24298.77,0.07,0.00,13.26,-49.895,8.168
,Mixed / non conventional,17.00,24.00,64.00,71.00,-51216.10,0.06,0.00,-14.96,260.105,33.056
,Mixed / non conventional,17.00,24.00,71.00,6.00,3550.65,0.14,0.00,-160.07,-711.921,33.056
,Mixed / non conventional,17.00,24.00,6.00,13.00,12140.83,0.05,0.00,-39.99,-7903.430,33.056
,Mixed / non conventional,17.00,24.00,13.00,20.00,16237.71,0.05,0.00,367.24,1378.882,7.043
,Mixed / non conventional,17.00,24.00,20.00,27.00,17112.00,0.04,0.00,-151.63,6074.063,7.043
,Mixed / non conventional,17.00,24.00,27.00,34.00,19180.55,0.03,0.00,0.18,-4131.361,7.043
,Mixed / non conventional,17.00,24.00,34.00,41.00,36302.57,0.06,0.00,79.40,-977.416,7.043
,Mixed / non conventional,17.00,24.00,41.00,48.00,36085.96,0.02,0.00,-3.37,-313.414,7.043
,Mixed / non conventional,17.00,24.00,48.00,55.00,50163.16,0.04,0.00,-68.37,-194.909,7.043
,Mixed / non conventional,17.00,24.00,55.00,62.00,24089.81,0.00,0.00,2.40,-49.920,7.043
,Mixed / non conventional,17.00,24.00,62.00,69.00,-33779.41,0.34,0.00,-92.93,133.914,22.601
,Mixed / non conventional,17.00,24.00,69.00,4.00,3569.67,0.35,0.00,256.55,-384.111,22.601
,Mixed / non conventional,17.00,24.00,4.00,11.00,9705.31,0.05,0.00,-512.43,-2193.095,22.601
,Mixed / non conventional,17.00,24.00,11.00,18.00,8299.96,0.34,0.00,435.20,-1819.335,1.852
,Mixed / non conventional,17.00,24.00,18.00,25.00,9535.20,0.32,0.00,-172.57,4801.818,1.852
,Mixed / non conventional,17.00,24.00,25.00,32.00,9426.40,0.31,0.00,81.32,-2269.309,1.852
,Mixed / non conventional,17.00,24.00,32.00,39.00,29608.14,0.31,0.00,66.88,-323.994,1.852
,Mixed / non conventional,17.00,24.00,39.00,46.00,39501.39,0.31,0.00,-40.52,-119.242,1.852
,Mixed / non conventional,17.00,24.00,46.00,53.00,39879.53,0.29,0.00,-32.65,-50.160,1.852
,Mixed / non conventional,17.00,24.00,53.00,60.00,33196.21,0.00,0.00,-6.16,-149.820,12.990
,Mixed / non conventional,17.00,24.00,60.00,67.00,19207.69,0.05,0.00,4.53,-50.279,12.990
,Mixed / non conventional,17.00,24.00,67.00,2.00,1807.60,0.20,0.00,124.91,-91.438,12.990
,Mixed / non conventional,17.00,24.00,2.00,9.00,2466.38,0.03,0.00,11.12,-189.281,12.990
,Mixed / non conventional,17.00,24.00,9.00,16.00,8048.25,0.21,0.00,-512.24,-2766.440,2.645
,Mixed / non conventional,17.00,24.00,16.00,23.00,6696.19,0.23,0.00,576.15,4814.770,2.645
,Mixed / non conventional,17.00,24.00,23.00,30.00,3163.56,0.24,0.00,-235.52,-990.113,2.645
,Mixed / non conventional,17.00,24.00,30.00,37.00,25051.27,0.24,0.00,71.68,-662.378,2.645
