,x,y,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1,elevation
675,468123.67346938804,468839.795918367,50.53751313764358,48.9388723670414,50.32179498957288,28.29106670574162,32.95020730065434,36.7168524922465,0
676,468127.142857143,468839.795918367,53.471692615116126,53.21070216635123,54.76238199548394,31.926250105468803,36.61324157547358,40.361815785506884,0
677,468130.612244898,468839.795918367,56.46524364541002,57.211753087000126,58.43264130318867,35.41623387257546,40.33934013105818,44.18656014507522,0
678,468134.08163265296,468839.795918367,57.6450357641589,59.531152207347894,62.210004447813745,38.11290331152678,43.21875380584994,46.78773094322966,0
679,468137.55102040805,468839.795918367,56.38508067151601,59.70452950775632,63.82121772721846,40.29238817123866,45.354701627375164,48.54159653595584,0
680,468141.0204081632,468839.795918367,52.19002884058384,57.88188241743494,62.38827182581224,42.02448298162922,46.54104544842548,49.19100006783818,0
681,468144.4897959184,468839.795918367,51.16474337210586,57.077583802068624,61.48982979999708,42.994236723415575,46.62143677662184,48.57110056429264,0
682,468147.95918367355,468839.795918367,50.137976773248496,55.621817875987986,59.61031562916061,43.1804410388988,45.79872942548544,46.91253103766148,0
683,468151.4285714288,468839.795918367,48.20245903204372,52.87259507050906,56.114500032049364,41.67388603662421,43.62216348820982,44.12325704570186,0
684,468154.897959184,468839.795918367,45.35049358458608,48.989476335611435,51.39000808386552,38.48065217837916,39.8746874396785,39.9407162107879,0
685,468158.367346939,468839.795918367,41.73773586370096,44.55671489504808,46.28928374665282,34.66867587496462,35.6747271959653,35.58080570298608,0
686,468161.83673469396,468839.795918367,37.80306646953354,40.18933812731116,41.576980717052365,30.70867014258016,31.440286493180018,31.406005787119103,0
687,468142.40816326544,468840.61224489764,42.061544167728336,43.09871784923992,43.36591456775666,30.915365734391536,32.43748594011482,33.134946701952124,0
688,468122.9795918368,468841.4285714282,47.02901669511856,47.39706493459244,47.18998699929652,33.17075715211848,35.10277196199614,36.41737769871948,0
689,468103.5510204082,468842.2448979588,52.95210062039594,53.27086272178104,53.24818537511915,37.359182208744045,39.60021292039973,41.580135953449386,0
690,468084.1224489796,468843.0612244895,59.76220577230974,59.73796047300184,59.65798756956881,41.6156896232736,44.87203067083902,47.54984257413728,0
691,468064.69387755095,468843.87755102,67.50668400189544,66.54096042856816,65.72922770363104,47.138997775994724,50.7885064134374,53.56429423150543,0
692,468068.1632653059,468843.87755102,67.57087145699401,66.70199016507851,65.85398011187034,49.331520518863826,52.31055977149629,54.68774712358152,0
693,468071.632653061,468843.87755102,66.54807078660467,66.31120487805927,65.78382239065652,49.987355498744094,53.259329481977446,55.77870664410366,0
694,468075.1020408162,468843.87755102,64.48825856325084,65.46721706422663,65.94249665417207,50.932217552377715,53.881956604729,56.084119098285825,0
695,468078.57142857136,468843.87755102,63.89535757978153,65.7388974749172,66.74713445557339,52.81586250841927,54.922458213067046,56.36114103990534,0
696,468082.0408163266,468843.87755102,63.0453149796434,66.50005591497734,68.7719624545348,54.349354795259615,56.04060459682088,56.89189742168357,0
697,468085.5102040818,468843.87755102,62.56193697160188,67.95314451142201,72.54829346216789,54.20824093636507,55.312875299258074,55.86367165128248,0
698,468088.979591837,468843.87755102,61.204941860141886,67.45760575445678,73.46377847532013,54.15428400912772,54.48465001540956,53.95275676493465,0
699,468092.44897959195,468843.87755102,61.305095194956685,66.30495451898585,71.5625678352264,52.46826736889189,53.44147757738644,52.024105268798095,0
700,468095.91836734704,468843.87755102,59.8764917026773,63.846253519020955,68.55738752904861,48.866733970764294,50.30936761794582,49.038136177198524,0
701,468099.387755102,468843.87755102,56.708531913362194,59.88580686313058,63.97052356627785,44.14223370416064,46.11037708059846,45.97920504307882,0
